Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ENVIRONMENTAL MANAGEMENT,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,[Not Available],[Not Available],[Not Available]
ACCOUNTING,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
AGRIC-ECONOMICS & EXTENSION,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science plus Mathematics or Physics."
AGRICULTURAL SCIENCE & EDUCATION,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURE,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANATOMY,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
ANIMAL SCIENCE,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,Two (2) ‘A’ level passes or its equivalent in Chemistry and one of Biology/Botany/Zoology/Agriculture Science/Geography/Geology/Mathematics/Economics.,"Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Biology/Agric Science and one of Physics, Geography or Economics.","Chemistry, Biology/Agriculture and Mathematics /Physics."
APPLIED BIOLOGY,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,Two (2) 'A' Level passes in Biology and either Chemistry or Physics.,"Five (5) SSC credit passes  in English Language, Biology, Mathematics, Chemistry and any one (1) of  Health  Science, Statistics, Physics and Geography.","Chemistry, Biology and either Physics or Mathematics."
APPLIED MICROBIOLOGY,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,"Two (2) 'A' Level passes in Biology and Chemistry.

 

(ii)   NCE merit in Biology and Chemistry.

 

(iii) ND/HND in Biology or Food Technology","Five (5) SSC credit passes to include English Language, Mathematics, chemistry, Physics and Biology or Health Science.","Mathematics, Chemistry and Biology."
ARCHITECTURE,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BOTANY,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUILDING,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,[Not Available],[Not Available],[Not Available]
BUILDING TECHNOLOGY EDUCATION,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,Same as in Electrical Electronics Engineering,Same as in Electrical Electronics Engineering,Same as in Electrical Electronics Engineering
BUSINESS EDUCATION,"EBONYI STATE UNIVERSITY, ABAKALIKI, EBONYI STATE",EBSU,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
