Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
LINGUISTICS,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"a) Two (2) ‘A’ level passes at the IJMB examination or the equivalent with SSCE O level credit passes in English, mathematics and any three Arts and social science subjects.

b) NCE/ND/ HND in any Arts or Social Science related courses with at least a merit pass or the equivalent with SSCE O level credit passes in English, mathematics and any three in Arts or Social Science subjects.","Five (5) ‘O’ level credit passes which must include English Language, Mathematics, and any three (3) Arts or Social Science subjects.","English Language, Mathematic and any three Arts or Social Science Subjects"
ACCOUNTING,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
AGRICULTURE,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ARABIC STUDIES,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
BIOCHEMISTRY,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BOTANY,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMISTRY,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i)       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.




(iii) HND in related programmes plus the UTME O'level requirements.




(iv) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
DOCTOR OF PHARMACY,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"Three (3) 'A' Level passes in Chemistry, Biology/Zoology and Physics or Mathematics plus UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Physics, Chemistry and Biology."
ECONOMICS,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION & BIOLOGY,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) 2 'A' Level passes in Biology and one (1) other Science subject.

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2) ‘A’ Level passes including Chemistry and one (1) other science subjects

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & COMPUTER SCIENCE,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2) ‘A’ Level passes including Physics or Chemistry.

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ENGLISH LANGUAGE,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.

(iii) ND/HND in related programmes plus the UTME O'level requirements.

(iv) 6 IJMB points in related programmes plus the UTME O'level requirements",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & MATHEMATICS,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2)'A' Level passes in Mathematics and one (1) Science subject.

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & PHYSICS,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.

(iii)ND/HND in related programmes plus the UTME O'level requirements.

(iv) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
ENGLISH LANGUAGE,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
ENVIRONMENTAL HEALTH,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"Two (2) ‘A’ level IJMB passes in Physics, Chemistry, Biology and Zoology or NCE/ND/HND in relevant discipline with at least lower credit in addition to five ‘O’ credit passes.","Five ‘O’ level credit passes which must include English Language, Mathematics, Physics, Chemistry and Biology.","English Language, Mathematics, Chemistry and Biology"
HAUSA,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2) A’ Level passes in Hausa and any other relevant subjects.

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements",Five (5) SSC credit passes to include English Language and Hausa.,"Hausa, Literature in English and any of Economics, Government, History and Arabic."
HUMAN ANATOMY,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
ISLAMIC STUDIES,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2) ‘A’ level passes to include Islamic Studies.

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements",Five (5) SSC credit passes to include English Language and Islamic Studies or Arabic and any three (3) relevant subjects.,Islamic Studies plus two (2) other Arts subjects.
LAW,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"Two (2)'A' Level passes in Arts or Social Science subjects.

(ii)   NCE/ND/First Degree (Second Class Lower).","Five (5)'O' Level credit passes to include English Language, Literature in English and Mathematics.",Any three (3) Arts or Social Science subjects.
LIBRARY & INFORMATION SCIENCE,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2)'A' Level passes in relevant subjects.

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements",Five (5)SSC credit passes including English Language and Mathematics.,Any three (3) Arts or Social Science subjects
LITERATURE IN ENGLISH,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements",Five (5) SSC credit passes to include Literature in English and English Language.,"Literature in English, one other Arts subject and another Arts or Social Science subject."
MATHEMATICS,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii) NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics

(iii) ND/HND in related programmes plus the UTME O'level requirements.

(iv) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MICROBIOLOGY,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i)Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
NURSING SCIENCE,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,Two (2) ‘A’ level IJMB passes in Biology Chemistry and Physics or NCE/ND/HND/First Degree in any relevant discipline and registered members of any recognized council or relevant body.,"Five ‘O’ level credit passes in English, Mathematics, Biology, Physics and Chemistry.","English Language, Mathematics, Physics, Chemistry and Biology"
PHARMACOLOGY,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2) 'A' Level passes in any of Physics, Chemistry and Biology plus UTME entry requirements.

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes in English Language, Maths, Physics, Chemistry. & Biology.","Physics, Chemistry and Biology."
PHYSICS,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
PHYSIOLOGY,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i) Two (2) 'A' Level passes chosen from Chemistry, Physics and Biology/Zoology.

(ii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iii) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes in English Language, Maths, Physics, Chemistry and Biology.","Physics, Chemistry and Biology"
POLITICAL SCIENCE,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"Two (2) 'A' Level passes including Government or History.

NCE/ND/HND in related programmes plus the UTME O'level requirements.




6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
PUBLIC ADMINISTRATION,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government, Geography and Statistics.




NCE/ND/HND in related programmes plus the UTME O'level requirements.




6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes to include English Language,              

Economics and Government. For NBC holders, the other relevant    subjects could be  from any of the  following:  Accounting, Principles of Accounts,          Commerce, Office Practice and Secretarial   Duties.","Government, Economics and any other subject."
PUBLIC HEALTH TECHNOLOGY,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i)              'A' Level passes in any two (2) of Physics, Chemistry, Biology and Mathematics

(ii)            ND Upper Credit in Prosthesis and Orthopaedic Technology.




(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes including English Language, Physics, Mathematics, Chemistry and Biology.","Chemistry, Biology and Physics."
SCIENCE LABORATORY TECHNOLOGY,"BAUCHI STATE UNIVERSITY, GADAU, BAUCHI STATE",BASU,"(i)              'A' Level passes in any two (2) of Physics, Chemistry, Biology and Mathematics

(ii)            ND Upper Credit in Prosthesis and Orthopaedic Technology.




(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.

 (iii) NCE/ND/HND in related programmes plus the UTME O'level requirements.

(iv) 6 IJMB points in related programmes plus the UTME O'level requirements","Five (5) SSC credit passes including English Language, Physics, Mathematics, Chemistry and Biology.","Chemistry, Biology and Physics."
