Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
BANKING & FINANCE,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS MANAGEMENT,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMISTRY,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY AND SECURITY STUDIES,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,"Five (5) 'O' level credit passes or equivalent including English Language, Mathematics, Economics, and any two (2) Arts or Social Sciences, History, Civics or Geography at not more than two (2) sittings.","Five (5) 'O' level credit passes or equivalent including English Language, Mathematics, Economics, and any two (2) Arts or Social Sciences, History, Civics or Geography at not more than two (2) sittings.","Economics, Government, and any one of the following: History, Geography, Literature in English, French, IS, Hausa."
ECONOMICS,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,ND/NCE with upper/merit  credit in the relevant programme in addition to five (5) credit passes  at  SSC  at not more than two (2) sittings,"Five (5) SSC credit passes to include English Language, Mathematics, Economics and at least two (2) other  relevant  subjects from   Commerce, Government and Accounting .","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and CRS/IRS."
ENGLISH LANGUAGE,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
HISTORY & INTERNATIONAL STUDIES,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,credit) in History/ Government and any other related subject.,"Language, Geography, Government/History.",subjects from the Arts and Social Sciences.
INDUSTRIAL CHEMISTRY,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
MARKETING,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,"Two (2) ‘A’ Level passes chosen from Accounting, Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics and any three (3) relevant subjects.","Mathematics, Economics plus one (1) other subject."
MASS COMMUNICATION,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,Two (2) 'A' Level passes in relevant subjects.,Five (5) SSC credit passes to include English Language.,Any three (3) Arts and Social Science subjects.
MATHEMATICS,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MEDICAL LABORATORY SCIENCE,"EVANGEL UNIVERSITY, AKAEZE, EBONYI STATE",EVANGEL,"'A' Level passes   to include Physics, Chemistry and Biology or Zoology","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology","Physics, Chemistry and Biology"
