Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
BIOLOGY/BIOTECHNOLOGY,"DAVID NWEZE UMAHI FEDERAL UNIVERSITY OF MEDICAL SCIENCES, UBURU, EBONYI STATE",DANUMS,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
BIOMEDICAL ENGINEERING,"DAVID NWEZE UMAHI FEDERAL UNIVERSITY OF MEDICAL SCIENCES, UBURU, EBONYI STATE",DANUMS,"Two (2) 'A' Level passes in Chemistry and any one of Physics, Biology/ Zoology/Botany and Mathematics.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Physics, Chemistry and Biology."
COMPUTER SCIENCE,"DAVID NWEZE UMAHI FEDERAL UNIVERSITY OF MEDICAL SCIENCES, UBURU, EBONYI STATE",DANUMS,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
DENTISTRY,"DAVID NWEZE UMAHI FEDERAL UNIVERSITY OF MEDICAL SCIENCES, UBURU, EBONYI STATE",DANUMS,"Three (3) 'A' Level passes to include Chemistry, Biology/Zoology and Physics.","Five (5) SSC credit passes in English Language, Physics, Chemistry, Biology and Mathematics.","Chemistry, Physics and Biology."
DOCTOR OF PHARMACY,"DAVID NWEZE UMAHI FEDERAL UNIVERSITY OF MEDICAL SCIENCES, UBURU, EBONYI STATE",DANUMS,"Three (3) 'A' Level passes in Chemistry, Biology/Zoology and Physics or Mathematics plus UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Physics, Chemistry and Biology."
HUMAN NUTRITION & DIETETICS,"DAVID NWEZE UMAHI FEDERAL UNIVERSITY OF MEDICAL SCIENCES, UBURU, EBONYI STATE",DANUMS,"Two (2) 'A' Level passes in Chemistry, Biology and Physics plus the UTME requirement.","Five (5) SSC credit passes in English Language, Physics, Chemistry, Biology and Mathematics.","Chemistry, Biology and Physics."
INDUSTRIAL CHEMISTRY,"DAVID NWEZE UMAHI FEDERAL UNIVERSITY OF MEDICAL SCIENCES, UBURU, EBONYI STATE",DANUMS,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

 

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INDUSTRIAL MATHEMATICS,"DAVID NWEZE UMAHI FEDERAL UNIVERSITY OF MEDICAL SCIENCES, UBURU, EBONYI STATE",DANUMS,"(i)    Two (2) 'A' Level passes from Mathematics, Physics, Economics or Chemistry.

 

(ii) NCE merit in relevant subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics and two (2) other Science subjects.","Mathematics and any two (2) of Physics, Chemistry, Economics, Biology and Agricultural Science."
INDUSTRIAL PHYSICS,"DAVID NWEZE UMAHI FEDERAL UNIVERSITY OF MEDICAL SCIENCES, UBURU, EBONYI STATE",DANUMS,Two (2) 'A' Level passes in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
MEDICAL LABORATORY SCIENCE,"DAVID NWEZE UMAHI FEDERAL UNIVERSITY OF MEDICAL SCIENCES, UBURU, EBONYI STATE",DANUMS,"'A' Level passes   to include Physics, Chemistry and Biology or Zoology","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology","Physics, Chemistry and Biology"
