Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"IBRAHIM BADAMASI BABANGIDA UNIVERSITY, LAPAI, NIGER STATE",LAPAI,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ACTUARIAL SCIENCE,"IBRAHIM BADAMASI BABANGIDA UNIVERSITY, LAPAI, NIGER STATE",LAPAI,Two (2) 'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ADULT EDUCATION,"IBRAHIM BADAMASI BABANGIDA UNIVERSITY, LAPAI, NIGER STATE",LAPAI,"(i)    Two (2) 'A' Level   passes.

(ii)           NCE merit in two (2) subjects.","Five (5) 'O' Level credit passes including English Language, Mathematics and three (3) of Literature in English, History, French, Yoruba, Igbo, Hausa, Christian Religious Studies, Islamic Studies, Geography/Physic, Economics and Government or TC II with pass in English Language and four (4) other subjects.","Government/History, one (1) Social Science subject and any other subject."
AGRIC-ECONOMICS & EXTENSION,"IBRAHIM BADAMASI BABANGIDA UNIVERSITY, LAPAI, NIGER STATE",LAPAI,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science plus Mathematics or Physics."
AGRICULTURAL SCIENCE & EDUCATION,"IBRAHIM BADAMASI BABANGIDA UNIVERSITY, LAPAI, NIGER STATE",LAPAI,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURE,"IBRAHIM BADAMASI BABANGIDA UNIVERSITY, LAPAI, NIGER STATE",LAPAI,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ARABIC STUDIES,"IBRAHIM BADAMASI BABANGIDA UNIVERSITY, LAPAI, NIGER STATE",LAPAI,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
BIOCHEMISTRY,"IBRAHIM BADAMASI BABANGIDA UNIVERSITY, LAPAI, NIGER STATE",LAPAI,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"IBRAHIM BADAMASI BABANGIDA UNIVERSITY, LAPAI, NIGER STATE",LAPAI,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"IBRAHIM BADAMASI BABANGIDA UNIVERSITY, LAPAI, NIGER STATE",LAPAI,"(i)       'A' Level passes in two (2) of Physics Chemistry, and Mathematics.

(ii)     ND/HND upper credit in relevant programmes.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and any other Science subject.","Mathematics, Chemistry and Physics or Biology."
BOTANY,"IBRAHIM BADAMASI BABANGIDA UNIVERSITY, LAPAI, NIGER STATE",LAPAI,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"IBRAHIM BADAMASI BABANGIDA UNIVERSITY, LAPAI, NIGER STATE",LAPAI,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
