Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ACTUARIAL SCIENCE,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,Two (2) ‘A’ Level passes to include Economics and Mathematics.,"Five (5) SSC credit passes to include English Language, Mathematics and Economics plus any other two (2)            relevant subjects.","Mathematics, Economics and one (1) other subject."
BIOCHEMISTRY,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
COMPUTER SCIENCE,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY & SECURITY STUDIES,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,Two (2)'A' Level passes in Arts or Social Science subjects.,Five (5)SSC credit passes in English Language and any four (4) of Arts or Social Science subjects.,Any three (3) of Arts or Social Science subjects.
CYBER SECURITY,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,"i)      Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
INDUSTRIAL CHEMISTRY,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INDUSTRIAL RELATIONS & PERSONNEL MANAGEMENT,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,"i) Two (2) 'A' Level passes chosen from Economics, Accounting, Government, Geography and Statistics.

ii) NCE in related programme.",Five (5) SSC credit passes to include English Language and Mathematics.,"Mathematics, Economics plus one other relevant subject"
MASS COMMUNICATION,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MICROBIOLOGY,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
PHYSICS WITH ELECTRONICS,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
SOFTWARE ENGINEERING,"DOMINION UNIVERSITY, IBADAN, OYO STATE",DOMINION,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
