Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE & EDUCATION,"AKWA IBOM STATE COLLEGE OF EDU, AFAHA-NSIT (AFFL TO UNI UYO), AKWA IBOM STATE",AKSCOE-DEG,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
BUSINESS EDUCATION,"AKWA IBOM STATE COLLEGE OF EDU, AFAHA-NSIT (AFFL TO UNI UYO), AKWA IBOM STATE",AKSCOE-DEG,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
EARLY CHILDHOOD & PRIMARY EDUCATION,"AKWA IBOM STATE COLLEGE OF EDU, AFAHA-NSIT (AFFL TO UNI UYO), AKWA IBOM STATE",AKSCOE-DEG,Two (2) 'A' Level passes chosen from relevant subjects.,Five (5) 'O' Level credit passes including English Language.,Any three (3) subjects.
EDUCATION & BIOLOGY,"AKWA IBOM STATE COLLEGE OF EDU, AFAHA-NSIT (AFFL TO UNI UYO), AKWA IBOM STATE",AKSCOE-DEG,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & ENGLISH LANGUAGE,"AKWA IBOM STATE COLLEGE OF EDU, AFAHA-NSIT (AFFL TO UNI UYO), AKWA IBOM STATE",AKSCOE-DEG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & MATHEMATICS,"AKWA IBOM STATE COLLEGE OF EDU, AFAHA-NSIT (AFFL TO UNI UYO), AKWA IBOM STATE",AKSCOE-DEG,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & PHYSICS,"AKWA IBOM STATE COLLEGE OF EDU, AFAHA-NSIT (AFFL TO UNI UYO), AKWA IBOM STATE",AKSCOE-DEG,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATION AND SOCIAL STUDIES,"AKWA IBOM STATE COLLEGE OF EDU, AFAHA-NSIT (AFFL TO UNI UYO), AKWA IBOM STATE",AKSCOE-DEG,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
INTERGRATED SCIENCE,"AKWA IBOM STATE COLLEGE OF EDU, AFAHA-NSIT (AFFL TO UNI UYO), AKWA IBOM STATE",AKSCOE-DEG,"(i) NCE Integrated         Science

 

(ii)   NCE Science

       Education

 

(iii)  'A' Level         passes in two (2)Science subjects","Five (5) SSC credit passes including Biology, Chemistry, English Language and Mathematics","Any three (3) of Mathematics, Chemistry, Physics, Biology and Agricultural Science."
TEACHER EDUCATION SCIENCE:,"AKWA IBOM STATE COLLEGE OF EDU, AFAHA-NSIT (AFFL TO UNI UYO), AKWA IBOM STATE",AKSCOE-DEG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
TECHNICAL EDUCATION,"AKWA IBOM STATE COLLEGE OF EDU, AFAHA-NSIT (AFFL TO UNI UYO), AKWA IBOM STATE",AKSCOE-DEG,"(i)     NCE merit in two (2) relevant Science subjects plus the UTME requirements.

 

(ii)    Two 'A' Level passes in Physics, Mathematics and Chemistry.",Five (5) 'O' Level credit passes in relevant subjects which must include English Language and Mathematics or NTC/NBC.,"Physics, Mathematics, Chemistry."
