Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL ENGINEERING,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"a. 'A' Level passes or equivalent in Physics and Mathematics.

b. JUPEB, IJMB","a. Five (5) O/L credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.

b. NABTEB","Mathematics, Chemistry and Physics."
ARCHITECTURE,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BIOCHEMISTRY,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics"
BIOMEDICAL ENGINEERING,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"a. Two (2) 'A' Level passes in Chemistry and any one of Physics, Biology/ Zoology/Botany and Mathematics.

b. JUPEB, IJMB","a. Five (5) O/L credit passes in English Language, Mathematics, Physics, Chemistry and Biology.

b. NABTEB","Physics, Chemistry and Biology."
BIOTECHNOLOGY,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"(i)       'A' Level passes in two (2) of Physics Chemistry, and Mathematics.

ND/HND upper credit in relevant programmes","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and any other Science subject","Mathematics, Chemistry and Physics or Biology."
BUILDING,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"'A' Level passes in Mathematics, Physics and Chemistry.","Five (5) SSC credit passes in Mathematics, English Language, Physics, Chemistry and any one of Geography, Economics, Arts and Technical drawing. For holders of NTC,  the other relevant subjects could be Intro. to Building Construction, Bricklaying, Concreting, Walls, Floors and Ceiling Finishing, Building/Engineering Drawing, Joinery, Carpentry, Gas, Steam Work and Bronze Welding, Cold  /   Hot Water Supply, Sanitation and Drainage.","Mathematics, Physics and Chemistry"
CHEMICAL ENGINEERING,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"'A' Level passes in Physics, Chemistry and Mathematics.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics and English Language and any other Science subject.","Mathematics, Physics and Chemistry."
CIVIL ENGINEERING,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"(i)       'A' Level passes in Physics and Mathematics.

(ii)     ND/HND upper credit at appropriate levels.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
COMPUTER ENGINEERING,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"Three (3) 'A' Level passes in Pure Mathematics or Pure and Applied Mathematics, Chemistry and Physics.","Five (5) SSC credit passes to include Mathematics, Further Mathematics, Chemistry, Physics and English Language","Mathematics, Physics and Chemistry"
COMPUTER SCIENCE,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"a.  Two (2) 'A' Level passes in science subjects including Mathematics

 

b.  NCE merit in Mathematics and one (1) other Science or Social Science subject.




c. ND (Upper Credit) from a reputable Polytechnic or equivalent




d. JUPEB and IJMB","a. Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.

b. NABTEB","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY SCIENCE,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"a. Two (2) 'A' Level passes to include Mathematics or Statistics.

b. NCE credit in relevant subjects.

c. ND (Upper Credit) from a reputable Polytechnic or equivalent 

d. JUPEB AND IJMB","a. Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.

b. NABTEB","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ELECTRICAL /ELECTRONICS ENGINEERING,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"'A' Level passes in Mathematics, Physics or Chemistry




JUPEB, IJMB","Five (5) O/L credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.

NABTEB","Mathematics, Physics and Chemistry"
ESTATE MANAGEMENT,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"Two (2) ‘A’ Level passes in Mathematics, Economics, Geography, Biology and Physics.","Five (5) SSCE credit passes including Chemistry, Mathematics and English Language.","Mathematics, Economics and one other subject"
FOOD SCIENCE & TECHNOLOGY,"FIRST TECHNICAL UNIVERSITY, IBADAN, OYO STATE",TECH-UNI,"(i)       'A' Level passes Physics Chemistry, and Mathematics.

(ii)     ND/HND upper credit in relevant programmes.","a. Five (5) O/L credit passes to include Physics, Chemistry, Mathematics, English Language and any other Science subject.




b. NABTEB","Mathematics, Chemistry and Physics or Biology."
