Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"TOPFAITH UNIVERSITY, MKPATAK, AKWA IBOM STATE",TOPFAITH,"Two A level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five Credits at SSCE (or its equivalent) in English, Mathematics, Economics, one Science subject and any other one relevant subject.","UTME subjects are: English, Economics, Mathematics and any Social Science subject."
ARCHITECTURE,"TOPFAITH UNIVERSITY, MKPATAK, AKWA IBOM STATE",TOPFAITH,Two A level credit passes in Mathematics and Physics and five credit passes at SSCE (or its equivalent). OND in Architectural Technology or credit level and good SSCE result may be considered.,"Five credit passes in SSCE (or its equivalent) including Mathematics, English Language, Physics and any other two subjects selected from Geography, Economics, Chemistry, Technical Drawing, Fine Arts and Building Construction.","UTME subjects are: English, Physics, Mathematics or Geography and any relevant subject."
BIOCHEMISTRY,"TOPFAITH UNIVERSITY, MKPATAK, AKWA IBOM STATE",TOPFAITH,"Two ‘A’ level passes in Chemistry, Mathematics, Physics, and Biology.","Five Credits at SSCE (or its equivalent) in English, Mathematics, Physics, Chemistry, and Biology.","UTME subjects are: Biology, Chemistry, Physics or Mathematics."
BIOTECHNOLOGY,"TOPFAITH UNIVERSITY, MKPATAK, AKWA IBOM STATE",TOPFAITH,"Two ‘A’ level passes chosen from Chemistry and any one of Physics, Mathematics or Biology.","Five Credits at SSCE (or its equivalent) in English, Mathematics, Physics, Chemistry, and Biology.","UTME subjects are: Chemistry and two of Physics, Biology, and Mathematics."
BUSINESS ADMINISTRATION,"TOPFAITH UNIVERSITY, MKPATAK, AKWA IBOM STATE",TOPFAITH,"Two ‘A’ level passes chosen Economics, Accounts, Business Management, Government, Geography or Statistics.","Five Credits at SSCE (or its equivalent) in English, Mathematics, Economics, one Science subject plus any one from Accounting, Business Methods, Commerce, Govt., Geography and Statistics.","UTME subjects are: Mathematics, Economics and one other subject."
CHEMICAL ENGINEERING,"TOPFAITH UNIVERSITY, MKPATAK, AKWA IBOM STATE",TOPFAITH,"Two ‘A’ level passes from Physics, Chemistry and Mathematics","Five Credits at SSCE (or its equivalent) including English Language, Mathematics, Physics, and Chemistry and one Science or Social Science.","UTME subjects are: Mathematics, Chemistry and Physics."
CIVIL ENGINEERING,"TOPFAITH UNIVERSITY, MKPATAK, AKWA IBOM STATE",TOPFAITH,"Two ‘A’ level passes from Physics, Chemistry and Mathematics.","Five Credits at SSCE (or its equivalent) including English Language, Mathematics, Physics, and Chemistry and one Science or Social Science.","UTME subjects are: Mathematics, Chemistry and Physics"
COMPUTER ENGINEERING,"TOPFAITH UNIVERSITY, MKPATAK, AKWA IBOM STATE",TOPFAITH,"Two ‘A’ level passes from Physics, Chemistry, and Mathematics.","Five Credits at SSCE (or its equivalent) including English Language, Mathematics, Physics, and Chemistry, and one Science or Social Science.","UTME subjects are: Mathematics, Chemistry, and Physics."
COMPUTER ENGINEERING:,"TOPFAITH UNIVERSITY, MKPATAK, AKWA IBOM STATE",TOPFAITH,"Two ‘A’ level passes from Physics, Chemistry, and Mathematics.","Five Credits at SSCE (or its equivalent) including English Language, Mathematics, Physics, and Chemistry, and one Science or Social Science.","UTME subjects are: Mathematics, Chemistry, and Physics."
COMPUTER SCIENCE,"TOPFAITH UNIVERSITY, MKPATAK, AKWA IBOM STATE",TOPFAITH,Two ‘A’ level passes in Mathematics in Science subjects including Mathematics.,"Five Credits at SSCE (or it's equivalent) including English, Mathematics, Physics plus two other science subjects.","UTME subjects are: Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY & SECURITY STUDIES,"TOPFAITH UNIVERSITY, MKPATAK, AKWA IBOM STATE",TOPFAITH,"Two A level credit passes in Arts and Social Science subjects. Credit passes in NCE, OND, and Diploma in social work.","Five credit passes at SSCE (or its equivalent) in English, Government, and two other Arts or Social Science subject.","UTME subject are: English, Government, and any other two Arts and Social Science subjects."
