Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",LANDMARK,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
AGRIC EXTENSION & RURAL DEVELOPMENT,"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",LANDMARK,Two (2) ‘A’ Level passes or equivalents in Chemistry and Biology/Agricultural Science/Botany/Zoology/Economics/Mathematics/Physics/Geography/Geology.,"Five (5) SSC credit passes  in English Language, Chemistry, Mathematics, Biology/Agricultural Science plus one of Physics, Geography and Economics.","Chemistry, Biology /Agriculture and Physics or Mathematics"
AGRICULTURAL ECONOMICS,"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",LANDMARK,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science and Mathematics or Physics."
AGRICULTURAL ENGINEERING,"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",LANDMARK,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","Mathematics, Chemistry and Physics."
AGRICULTURE,"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",LANDMARK,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
BANKING & FINANCE,"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",LANDMARK,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",LANDMARK,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",LANDMARK,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",LANDMARK,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMICAL ENGINEERING,"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",LANDMARK,"'A' Level passes in Physics, Chemistry and Mathematics.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics and English Language and any other Science subject.","Mathematics, Physics and Chemistry."
CIVIL ENGINEERING,"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",LANDMARK,(i) 'A' Level passes in Physics and Mathematics. (ii) ND/HND upper credit at appropriate levels.,"Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
COMPUTER SCIENCE,"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",LANDMARK,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"LANDMARK UNIVERSITY, OMU-ARAN, KWARA STATE",LANDMARK,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
