Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
AGRICULTURE,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ARCHITECTURE,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BUILDING,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,[Not Available],[Not Available],[Not Available]
CHEMISTRY,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY AND SECURITY STUDIES,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,"Five (5) 'O' level credit passes or equivalent including English Language, Mathematics, Economics, and any two (2) Arts or Social Sciences, History, Civics or Geography at not more than two (2) sittings.","Five (5) 'O' level credit passes or equivalent including English Language, Mathematics, Economics, and any two (2) Arts or Social Sciences, History, Civics or Geography at not more than two (2) sittings.","Economics, Government, and any one of the following: History, Geography, Literature in English, French, IS, Hausa."
ECONOMICS,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,"Two (2) ‘A’ Level passes in Economics and any one (1) of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and CRS/IS."
EDUCATION AND BIOLOGY,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,[Not Available],[Not Available],[Not Available]
EDUCATION AND CHEMISTRY,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,[Not Available],[Not Available],[Not Available]
EDUCATION AND ENGLISH LANGUAGE,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,[Not Available],[Not Available],[Not Available]
EDUCATION AND MATHEMATICS,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,[Not Available],[Not Available],[Not Available]
EDUCATION AND PHYSICS,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,[Not Available],[Not Available],[Not Available]
EDUCATION AND RELIGIOUS STUDIES,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,[Not Available],[Not Available],[Not Available]
ENGLISH LANGUAGE,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
ENTREPRENEURSHIP,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,[Not Available],[Not Available],[Not Available]
GEOGRAPHY,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,"Two (2)'A' Level passes in Geography and any one of Economics., Government, Physics, Chemistry, Biology, and Mathematics","Five (5) SSC credit passes in English Language, Geography, and any three (3) from Arts or Social Science subjects with at least a pass in Mathematics.",Geography and two (2) other Arts or Social Science subjects
HISTORY & INTERNATIONAL STUDIES,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,credit) in History/ Government and any other related subject.,"Language, Geography, Government/History.",subjects from the Arts and Social Sciences.
HUMAN RESOURCES MANAGEMENT,"PLATEAU STATE UNIVERSITY, BOKKOS, PLATEAU STATE",PLASU,"Two (2) 'A' Level passes chosen from Economics, Accounting, Business Management, Government, Geography and Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics plus any two (2) subjects listed under the Direct Entry column.","Mathematics, Economics plus one (1) other subject."
