Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"ADEKUNLE AJASIN UNIVERSITY, AKUNGBA-AKOKO, ONDO STATE",AAUA,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.�","Mathematics, Economics plus any Social Science subject."
ADULT EDUCATION,"ADEKUNLE AJASIN UNIVERSITY, AKUNGBA-AKOKO, ONDO STATE",AAUA,"(i)    Two (2) 'A' Level   passes.

(ii)           NCE merit in two (2) subjects.","Five (5) 'O' Level credit passes including English Language, Mathematics and three (3) of Literature in English, History, French, Yoruba, Igbo, Hausa, Christian Religious Studies, Islamic Studies, Geography/Physic, Economics and Government or TC II with pass in English Language and four (4) other subjects.","Government/History, one (1) Social Science subject and any other subject."
AGRICULTURE,"ADEKUNLE AJASIN UNIVERSITY, AKUNGBA-AKOKO, ONDO STATE",AAUA,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ARCHITECTURE,"ADEKUNLE AJASIN UNIVERSITY, AKUNGBA-AKOKO, ONDO STATE",AAUA,"Candidates who fulfill the UTME Entry requirement above should have obtained G.C.E. Advanced level, H.S.C./IJMB or equivalent with passes in Mathematics and Physics, or Mathematics or Physics and any other subject noted above may be admitted into the 200-level of the programme. A candidate who fulfills normal admission requirement and in addition holds and ND and HND certificate in Architecture or Allied Subject at Credit Level can be considered for admission into the programme at the appropriate level","Candidates who have successfully completed the Senior Secondary School or its equivalent, obtained five credit in English, Mathematics, Physics and two other subject from the following list will be eligible for admission: Chemistry, Biology, Technical Drawing, Fine Arts, Geography Economics, Building Construction and Land Surveying.","English Language, Mathematics, Physics and any one of Chemistry, Geography, Technical Drawing, fine Arts, Geography or Economics"
BANKING & FINANCE,"ADEKUNLE AJASIN UNIVERSITY, AKUNGBA-AKOKO, ONDO STATE",AAUA,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","English Language, Mathematics, Economics, and any of the following subject: Geography, Government, Commerce, Principles of Accounts, Literature in English, Civic Education and Christian Religious knowledge (CRK) / IRS."
BIOCHEMISTRY,"ADEKUNLE AJASIN UNIVERSITY, AKUNGBA-AKOKO, ONDO STATE",AAUA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"ADEKUNLE AJASIN UNIVERSITY, AKUNGBA-AKOKO, ONDO STATE",AAUA,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMISTRY,"ADEKUNLE AJASIN UNIVERSITY, AKUNGBA-AKOKO, ONDO STATE",AAUA,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER EDUCATION,"ADEKUNLE AJASIN UNIVERSITY, AKUNGBA-AKOKO, ONDO STATE",AAUA,"i. Two (2)'A' Level passes or its equivalents in Physics and Mathematics.

ii. ND in Computer Science

iii.  NCE distinction credit or merit in Computer Education or Physics or Mathematics","Five (5) SSC credit passes including Mathematics, English Language, Physics, Chemistry and Biology.","Mathematics, Economics/ Commerce plus one (1) of Chemistry/Physics/Biology"
COMPUTER SCIENCE,"ADEKUNLE AJASIN UNIVERSITY, AKUNGBA-AKOKO, ONDO STATE",AAUA,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics and two (2) Chemistry, Biology/Agriculture, Statistics, Additional Mathematics and Computer Studies.","English Language, Mathematics, Physics and one (1) of Chemistry, Biology,  Agricultural Science, Economics, Geography and Computer Studies."
