Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ADULT & CONTINUING EDUCATION,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,"i)     Two (2) 'A' Level   passes.

(ii)           NCE merit in two (2) subjects.","Five (5) 'O' Level credit passes including English Language, Mathematics and three (3) of Literature in English, History, French, Yoruba, Igbo, Hausa, Christian Religious Studies, Islamic Studies, Geography/Physic, Economics and Government or TC II with pass in English Language and four (4) other subjects.","Government/History, one (1) Social Science subject and any other subject."
AGRICULTURAL SCIENCE & EDUCATION,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
BUSINESS EDUCATION,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
EDUCATION & CHRISTIAN RELIGIOUS STUDIES,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION & ENGLISH LANGUAGE,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & FRENCH,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,Two (2) 'A' Level passes/NCE merit in French and one(1) other Arts subject.,Five (5) SSC credit passes to include English Language and French.,French plus two (2) other Arts subjects.
EDUCATION & MATHEMATICS,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & SOCIAL STUDIES,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
EDUCATION TECHNOLOGY,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,"(i)    Two (2) 'A' Level passes in Physics and Mathematics.

(ii)   ND lower credit in Civil Engineering, Production/Electrical Engineering.

(iii)    Final City and Guilds or its equivalent plus National Technical Certificate.

(iv) NCE credit  in Technical Education plus 'O' Level credit passes in Physics or Mathematics",Five (5) 'O' Level credit passes to include Physics or Mathematics.,"Mathematics, Physics and one (1) other Science subject."
EDUCATIONAL ADMINISTRATION & PLANNING,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,"(i) Two (2)'A' Level passes from Literature in English, History, Christian Religious Studies/Islamic Studies, Hausa, Yoruba and Igbo with 'O' Level pass in Mathematics.

(ii)  NCE merit in the subjects listed above.","(i) Five (5)'O' Level credit passes to include English Language, Mathematics and Economics.

(ii)  Five (5) TC II merit including English Language and Mathematics.","Any three (3) of Literature In English, History, French, Geography/Physics, Economics and Mathematics."
ELEMENTARY EDUCATION,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,"(i) ‘A’ Level passes in relevant subjects.

(ii)  NCE/ND in two (2)  relevant teaching subjects at merit level.","(i) Five (5) SSC credit passes including English Language and 'O' Level pass in Mathematics.

(ii)  Five (5) TC II merit passes to include English and 'O' Level pass in Mathematics.",Any three (3) subjects.
GUIDANCE & COUNSELLING,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,'A' Level passes or NCE in two (2) subjects plus the UTME requirements.,Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language with 'O' Level pass in Mathematics.,Any three (3) subjects.
PHYSICAL & HEALTH EDUCATION,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,"(i)  Two (2) 'A' Level passes in any of Biology, Chemistry, Physics and Mathematics.

 

(ii)  NCE merit in Physical Education and credit in Arithmetical process or Mathematics.

 

(iii)  Diploma in Health Education, Environmental Sanitation, Physical Education, Social work, Health Administration with overall grades of merit plus three (3) 'O' Level credit passes/TC II merit which should include English Language.

 

(iv) NCE in Biology, Health Education, and Integrated Science with a pass grade plus two (2) 'O' Level credit passes/TC II merit passes.

 

(v)    Registered Nurse plus five (5) 'O' Level credit passes to include English Language.","i) Five (5) SSC credit passes/TC II merit passes including     English Language, Biology or its equivalent.

 

ii) Five (5) SSC credit passes/TC II merit passes to include English Language and Mathematics.",Biology and any two (2) relevant subjects.
TEACHER EDUCATION SCIENCE:,"FEDERAL COLLEGE OF EDUCATION, OBUDU, (AFFL TO UNICAL), CROSS RIVER STATE",EDOBUDU,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
