Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
BIOCHEMISTRY,"SKYLINE UNIVERSITY NIGERIA, KANO, KANO STATE",SKYLINE,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"SKYLINE UNIVERSITY NIGERIA, KANO, KANO STATE",SKYLINE,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"SKYLINE UNIVERSITY NIGERIA, KANO, KANO STATE",SKYLINE,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"SKYLINE UNIVERSITY NIGERIA, KANO, KANO STATE",SKYLINE,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"SKYLINE UNIVERSITY NIGERIA, KANO, KANO STATE",SKYLINE,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY,"SKYLINE UNIVERSITY NIGERIA, KANO, KANO STATE",SKYLINE,Two (2) 'A' Level passes in science subjects including Mathematics (ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject,"Five (5) SSC credit passes to include English Language, Mathematics, and Physics plus two (2) other Science subjects","Mathematics, Physics and one (1) of Biology, Chemistry, Agricultural Science, Economics and Geography"
DATA SCIENCE,"SKYLINE UNIVERSITY NIGERIA, KANO, KANO STATE",SKYLINE,[Not Available],[Not Available],[Not Available]
ECONOMICS,"SKYLINE UNIVERSITY NIGERIA, KANO, KANO STATE",SKYLINE,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ENTREPRENEURSHIP STUDIES & INNOVATION,"SKYLINE UNIVERSITY NIGERIA, KANO, KANO STATE",SKYLINE,"Two (2) 'A' Level passes to include Economics and at least one of, Accounts, Business Management, Government, Geography or Mathematics.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, one Science subject and one other Social Science or Commercial subject.","Economics, Mathematics and one other Social Science or Commercial subject."
GEOLOGY,"SKYLINE UNIVERSITY NIGERIA, KANO, KANO STATE",SKYLINE,"(i) Two (2) 'A' Level passes from Geology, Chemistry, Mathematics, Physics, Biology and Geography.","Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and any other subject.","Any three (3) of Chemistry, Physics, Mathematics, Biology and Geography."
