Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"BOWEN UNIVERSITY, IWO, OSUN STATE",BOWEN,"(I)          At least two Passes at GCE Advanced Level, to include Economics and any one of Government, Geography, Mathematics, Business Method and Economic History.

(ii)         IJMB/JUPEB/NCE/ND/ATS of ICAN/NIM/NIMN/ANAN or approved equivalent.

(iii)        Holders of HND in Banking and Finance, Accounting, Business Administration and other related disciplines from a recognized Polytechnic.","Five (5) O' Level Credits to include English Language, Mathematics, Economics and any other two subjects.","Mathematics, Economics and any other Social Science subject"
AGRICULTURAL EXTENSION & SOCIAL ENGINEERING,"BOWEN UNIVERSITY, IWO, OSUN STATE",BOWEN,Two (2) ‘A’ Level passes or equivalents in Chemistry and Biology/Agricultural Science/Botany/Zoology/Economics/Mathematics/Physics/Geography/Geology,"Five (5) SSCE credit passes  in English Language, Chemistry, Mathematics, Biology/Agricultural Science plus one of Physics, Geography and Economics.","Chemistry, Biology /Agriculture and Physics or Mathematics"
AGRICULTURAL SCIENCE AND EDUCATION,"BOWEN UNIVERSITY, IWO, OSUN STATE",BOWEN,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURE,"BOWEN UNIVERSITY, IWO, OSUN STATE",BOWEN,"(i)          NCE, OND or approved equivalents of at least upper credit in relevant fields.

(ii)         Two A-Level passes to include Chemistry and any one of the following: Biology/Botany, Zoology/Agricultural Science, Economics, Physics, and Geography.

(iii)        IJMB at acceptable grade levels.","Five (5) five O' Level credits to include: English Language, Mathematics, Biology/Agricultural Science/Home Economics/ Fisheries, Chemistry and one of Physics, Geography, or Economics.","Chemistry, Biology/Agriculture, and Physics/Mathematics."
ANATOMY,"BOWEN UNIVERSITY, IWO, OSUN STATE",BOWEN,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) O' Level credits in English Language, Mathematics, Physics, Chemistry and Biology.","English Language, Biology, Chemistry and Physics"
ARCHITECTURE,"BOWEN UNIVERSITY, IWO, OSUN STATE",BOWEN,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics"
BANKING & FINANCE,"BOWEN UNIVERSITY, IWO, OSUN STATE",BOWEN,"(I)          At least two Passes at GCE Advanced Level, to include Economics and any one of Government, Geography, Mathematics, Business Method, and Economic History.

(ii)         IJMB/JUPEB/NCE/ND/ATS of ICAN/NIM/NIMN/ANAN or approved equivalent.

(iii)        Holders of HND in Banking and Finance, Accounting, Business Administration and other related disciplines from a recognized Polytechnic.","Five (5) O' Level Credits to include English Language and Mathematics, one Social Science subject and any other two subjects.","English Language, Mathematics, and two other social science subjects."
BIOCHEMISTRY,"BOWEN UNIVERSITY, IWO, OSUN STATE",BOWEN,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"BOWEN UNIVERSITY, IWO, OSUN STATE",BOWEN,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
BUSINESS EDUCATION,"BOWEN UNIVERSITY, IWO, OSUN STATE",BOWEN,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
