Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS MANAGEMENT,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY & SECURITY STUDIES,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,[Not Available],[Not Available],[Not Available]
CYBER SECURITY,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
DIGITAL ENTREPRENEURSHIP,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,"Two (2) 'A' Level passes to include Mathematics or Statistics.

NCE credit in relevant subjects.","Five (5) SSC credit passes to include English Language, Mathematics and at least three (3) subjects from Physics, Statistics, Chemistry, Further Mathematics, Economics and Geography.","Mathematics and any two (2) of Physics, Chemistry and Economics."
ECONOMICS,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,[Not Available],[Not Available],[Not Available]
ENTREPRENEURSHIP,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,[Not Available],[Not Available],[Not Available]
FILM PRODUCTION,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,[Not Available],[Not Available],[Not Available]
FORENSIC SCIENCE,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
HOSPITALITY & TOURISM MANAGEMENT,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,[Not Available],[Not Available],[Not Available]
INDUSTRIAL CHEMISTRY & CHEMICAL ENTREPRENEURSHIP,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,"(i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
INSURANCE,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,[Not Available],[Not Available],[Not Available]
INTERNATIONAL RELATIONS,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,[Not Available],[Not Available],[Not Available]
MATHEMATICS,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,"(i) Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics.","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MEDICAL LABORATORY SCIENCE,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,"'A' Level passes   to include Physics, Chemistry and Biology or Zoology","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology","Physics, Chemistry and Biology"
MICROBIOLOGY,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
NURSING,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,"(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

 

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes in Mathematics, Chemistry, Biology, Physics and English Language.","Physics, Chemistry and Biology."
PHARMACY,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,"Three (3) 'A' Level passes in Chemistry, Biology/Zoology and Physics or Mathematics plus UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Physics, Chemistry and Biology."
PHYSICS WITH ELECTRONICS,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
PHYSIOTHERAPY,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,"Two (2) ‘A’ Level passes chosen from Physics, Chemistry and Biology.","Five (5) SSC credit passes in English Language, Maths, Biology, Physics and Chemistry.","Physics, Chemistry and Biology."
POLITICAL SCIENCE,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,[Not Available],[Not Available],[Not Available]
PROCUREMENT MANAGEMENT,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,[Not Available],[Not Available],[Not Available]
RADIOGRAPHY,"CAPITAL CITY UNIVERSITY, WARAWA, KANO, KANO STATE",CCU,"Two (2) 'A' Level passes chosen from Physics, Chemistry and Biology.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Physics and Chemistry.","Physics, Chemistry and Biology."
