Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BIOLOGY,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CRIMINOLOGY & SECURITY STUDIES,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
CYBER SECURITY,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,"i)      Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
DOCTOR OF PHYSIOTHERAPY,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,[Not Available],[Not Available],[Not Available]
ECONOMICS,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
INDUSTRIAL CHEMISTRY,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INFORMATION TECHNOLOGY,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,"Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
INTERNATIONAL RELATIONS,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
MATHEMATICS,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MEDICAL LABORATORY SCIENCE,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,[Not Available],[Not Available],[Not Available]
NURSING SCIENCE,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,[Not Available],[Not Available],[Not Available]
PHYSICS WITH ELECTRONICS,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
POLITICAL SCIENCE,"GREENFIELD UNIVERSITY, KASARAMI, KADUNA STATE",GREENFIELD,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
