Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
AGRIC-ECONOMICS & EXTENSION,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science plus Mathematics or Physics."
AGRICULTURAL & ENVIRONMENTAL ENGINEERING,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","Mathematics, Chemistry and Physics."
AGRICULTURAL TECHNOLOGY EDUCATION,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
ANIMAL SCIENCE & RANGE MANAGEMENT,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,Two (2) ‘A’ level passes or equivalent in Chemistry and Biology or Agricultural Science.,"Five (5) SSC credit passes in Agricultural Science/Chemistry, Biology, Mathematics and any two (2) other subjects and  at least 'O' level pass in English Language and Physics.","Biology/Agricultural Science., Chemistry and Mathematics/ Physics."
ARCHITECTURE,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BANKING & FINANCE,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,"(i) Two (2) 'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.










    (iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA","Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BANKING AND FINANCE,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGICAL SCIENCE(S),"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,"(i)    Two (2) 'A' Level passes to include one (1) of Botany, Zoology, Biology or Chemistry.

 

(ii)    ND/NCE in related programme/subject.","Five (5) SSC credit passes to include English Language, Mathematics, Chemistry, Biology and any other Science subject.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BIOTECHNOLOGY WITH PLANT SCIENCE,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUILDING,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,"'A' Level passes in Mathematics, Physics and Chemistry.","Five (5) SSC credit passes in Mathematics, English Language, Physics, Chemistry and any one of Geography, Economics, Arts and Technical drawing. For holders of NTC,  the other relevant subjects could be Intro. to Building Construction, Bricklaying, Concreting, Walls, Floors and Ceiling Finishing, Building/Engineering Drawing, Joinery, Carpentry, Gas, Steam Work and Bronze Welding, Cold  /   Hot Water Supply, Sanitation and Drainage.","Mathematics, Physics and Chemistry"
BUSINESS EDUCATION,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
CHEMICAL ENGINEERING,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,"'A' Level passes in Physics, Chemistry and Mathematics.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics and English Language and any other Science subject.","Mathematics, Physics and Chemistry."
CHEMISTRY,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CIVIL ENGINEERING,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,(i) 'A' Level passes in Physics and Mathematics. (ii) ND/HND upper credit at appropriate levels.,"Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
COMPUTER SCIENCE,"MODIBBO ADAMA UNIVERSITY, YOLA, ADAMAWA STATE",MAUTY,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
