Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
ANATOMY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
BIOCHEMISTRY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGICAL SCIENCE(S),"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"(i)    Two (2) 'A' Level passes to include one (1) of Botany, Zoology, Biology or Chemistry.

 

(ii)    ND/NCE in related programme/subject.","Five (5) SSC credit passes to include English Language, Mathematics, Chemistry, Biology and any other Science subject.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS EDUCATION,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
BUSINESS MANAGEMENT,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMISTRY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
DOCTOR OF PHARMACY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,[Not Available],[Not Available],[Not Available]
ECONOMICS,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION & BIOLOGY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & COMPUTER SCIENCE,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ENGLISH LANGUAGE,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & INTEGRATED SCIENCE,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"(i) NCE Integrated         Science

 

(ii)   NCE Science

       Education

 

(iii)  'A' Level         passes in two (2)Science subjects","Five (5) SSC credit passes including Biology, Chemistry, English Language and Mathematics","Any three (3) of Mathematics, Chemistry, Physics, Biology and Agricultural Science."
EDUCATION & MATHEMATICS,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & PHYSICS,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATION & RELIGIOUS STUDIES,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION AND SOCIAL STUDIES,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
EDUCATIONAL MANAGEMENT,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"Same as in Educational Psychology, Guidance and Counseling.","Same as in Educational Psychology, Guidance and Counseling.","Economics, Mathematics and one (1) other Social Science/Arts subject."
EDUCATIONAL TECHNOLOGY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"(i)    Two (2) 'A' Level passes in Physics and Mathematics.

(ii)   ND lower credit in Civil Engineering, Production/Electrical Engineering.

(iii)    Final City and Guilds or its equivalent plus National Technical Certificate.

(iv) NCE credit  in Technical Education plus 'O' Level credit passes in Physics or Mathematics.",Five (5) 'O' Level credit passes to include Physics or Mathematics.,"Mathematics, Physics and one (1) other Science subject."
EDUCATIONAL TECHNOLOGY/INTRODUCTORY TECHNOLOGY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"(i)    Two (2) 'A' Level passes in Physics and Mathematics.

(ii)   ND lower credit in Civil Engineering, Production/Electrical Engineering.

(iii)    Final City and Guilds or its equivalent plus National Technical Certificate.

(iv) NCE credit  in Technical Education plus 'O' Level credit passes in Physics or Mathematics",Five (5) 'O' Level credit passes to include Physics or Mathematics.,"Mathematics, Physics and one (1) other Science subject."
ENGLISH LANGUAGE,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
ENVIRONMENTAL MANAGEMENT & TOXICOLOGY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
FINANCE,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
FRENCH,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,Two (2) ‘A’ Level passes including French and one other Arts subject.,Five (5) SSC credit passes including French and English Language plus one other Arts subject.,French and any other two (2) subjects from Arts and Social Sciences.
GEOGRAPHY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"Two (2)'A' Level passes in Geography and any one of Economics., Government, Physics, Chemistry, Biology, and Mathematics","Five (5) SSC credit passes in English Language, Geography, and any three (3) from Arts or Social Science subjects with at least a pass in Mathematics.",Geography and two (2) other Arts or Social Science subjects
GUIDANCE & COUNSELLING,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,'A' Level passes or NCE in two (2) subjects plus the UTME requirements.,Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language with 'O' Level pass in Mathematics.,Any three (3) subjects.
HISTORY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,Two (2) ‘A’ Level passes in History and any other related subjects.,Five (5) SSC credit passes to include History and English Language.,History and any other two (2) subjects from Arts and Social Sciences.
HOME ECONOMICS & EDUCATION,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"(i)    NCE merit in Home Economics

(ii) 'A' Level passes in two (2) of Chemistry or any Biology, Botany and Agricultural Science.

(iii) ND/HND credit in Home Economics or Food Science or Hotel and Catering Management or any other related programme","Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language, Mathematics, Home Economics, Biology and Chemistry.","Chemistry, Biology or Agricultural Science and one (1) other subject."
HUMAN PHYSIOLOGY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"Two (2) 'A' Level passes chosen from Chemistry, Physics and Biology/Zoology.","Five (5) SSC credit passes in English Language, Maths, Physics, Chemistry and Biology.","Physics, Chemistry and Biology"
INDUSTRIAL CHEMISTRY,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
LAW,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"Two (2)'A' Level passes in Arts or Social Science subjects.

(ii)   NCE/ND/First Degree (Second Class Lower).","Five (5)'O' Level credit passes to include English Language, Literature in English and Mathematics.",Any three (3) Arts or Social Science subjects.
LIBRARY & INFORMATION SCIENCE,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"(i) Two (2) 'A' Level passes in relevant subject plus the UTME requirements.

(ii) NCE merit in relevant subjects.","Five (5) SSC credit passes in English Language, Mathematics and three (3) other relevant Arts/Sciences/Social Sciences subjects.",Any three (3) subjects.
LINGUISTICS,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"Two (2) ‘A’ Level passes or NCE to include any Language, preferably an African Language.",Five (5) SSC credit passes including English Language.,Any Language and two (2) other subjects.
MARKETING,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,"Two (2) ‘A’ Level passes chosen from Accounting, Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics and any three (3) relevant subjects.","Mathematics, Economics plus one (1) other subject."
MASS COMMUNICATION,"BENUE STATE UNIVERSITY, MAKURDI, BENUE STATE",BSU,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
