Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ACTUARIAL SCIENCE,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,Two (2) ‘A’ Level passes to include Economics and Mathematics.,"Five (5) SSC credit passes to include English Language, Mathematics and Economics plus any other two (2)            relevant subjects.","Mathematics, Economics and one (1) other subject."
AGRICULTURE,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"Candidates must have at least 2 credit passes in Advance level or its equivalents in Chemistry and Biology plus Five SSC (or its equivalent) credit pass prescribed for UTME entry mode. Diploma Holders with a minimum of Lower Credit plus Five SSC (or its equivalent) credit pass Level at a maximum of two sittings are eligible for consideration for admission into 200- and 300- levels, respectively.","In addition to UTME score, the candidate should possess five credit passes in Senior Secondary Certificate (SSC) to include English Language, Mathematics, Biology or Agricultural Science, Chemistry and Physics in not more than two sittings.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ARCHITECTURE,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BANKING & FINANCE,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,[Not Available],[Not Available],[Not Available]
BUSINESS ADMINISTRATION,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BUSINESS EDUCATION,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"Two (2)‘A’ Level passes or NCE merit in Business Education Double Major, ANBC of NABTEB, National Diploma in relevant subjects.","Five (5) TCII merit, ‘O’ Level or NBC (NABTEB), WASC, GCE, NECO, or its approved equivalents by the Federal Ministry of Education (FME) and or National Universities Commission (NUC) to include credit passes in English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting, Shorthand, Salesmanship, Marketing, History, Storekeeping.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
CHRISTIAN STUDIES,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"Two (2) ‘A’ Level passes/NCE/ to include CRS.  DIP.RS/DIP TH. from Recognised Universities/Theological Colleges/Seminaries. Also, to include Five (5) SSC credit passes in English Language, CRS and three (3) other subjects from Arts, Social Sciences or Sciences","Five (5) SSC credit passes in English Language, CRS and three (3) other subjects from Arts, Social Sciences or Sciences",Two (2) Arts subjects including CRS and any other subject.
CIVIL ENGINEERING,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"In addition to Five (5) SSC credit passes at not
more than two sittings requirement, the Candidate should possess one of the following: i) passes from Chemistry, Physics, and Mathematics ii) ND lower credit in Civil Engineering for admission into 200 level.


iii) HND lower credit in Civil Engineering for admission into 300 level.


iv) Students may be allowed to transfer into 200 or 300 level provided:
- they satisfy the University Conditions for transfer.","Five (5) SSC credit passes at not more than one sittings to include Physics, Chemistry, Mathematics, English Language and one other relevant Science Subject from Biology, Agricultural Science, Technical Drawing, Further Mathematics, etc. in the SSCE or its approved equivalent by Federal Ministry of Education. The candidate must have an acceptable pass mark in the UTME.","Physics, Chemistry and Mathematics"
COMPUTER ENGINEERING,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"In addition to Five (5) SSC credit passes at not more than two sittings requirement, the Candidate should possess one of the following:


i) Two (2) A' Level passes from Chemistry, Physics, and Mathematics


ii) ND lower credit in Computer Engineering for admission into 200 level.


iii) HND lower credit in Computer Engineering for admission into 300 level.


iv) Students may be allowed to transfer into 200 or 300 level provided:

- they satisfy the University Conditions for transfer.
- vacancies exist in the Department","Five (5) SSC credit passes at not more than two sittings to include
Physics, Chemistry, Mathematics, English Language and one other relevant Science subject from Biology, Agricultural Science, Computer Science, Data Processing, etc. in the SSCE or its approved equivalent by Federal Ministry of Education.
The candidate must have an acceptable pass mark in the UTME.","Mathematics, Physics and Chemistry."
COMPUTER SCIENCE,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION & COMPUTER SCIENCE,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ECONOMICS,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION & ENGLISH LANGUAGE,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.




(ii)  NCE credit or merit in two(2)relevant subjects including English Language.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
ELECTRICAL/ELECTRONICS ENGINEERING,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"In addition to Five (5) SSC credit passes at not more than two sittings requirement, the Candidate should possess one of the following:
i) Two (2) A' Level passes from Chemistry, Physics, and
Mathematics
ii) ND lower credit in Electrical and Electronics Engineering for admission into 200
level.
iii) HND lower credit in Electrical and Electronics Engineering for admission into 300
level.
iv) Students may be allowed to transfer into 200 or 300 level provided:
- they satisfy the University Conditions for transfer.
- vacancies exist in the Department","Five (5) SSC credit passes at not more than two sittings to include Physics, Chemistry, Mathematics, English Language and one other relevant Science subject from Biology, Agricultural Science, Computer Science, Data Processing, Further Mathematics, etc. in the SSCE or its approved equivalent by Federal Ministry of Education.
The candidate must have an acceptable pass mark in the UTME.","Mathematics, Physics and Chemistry"
ENGLISH LANGUAGE,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
ENTREPRENEURSHIP,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"Two (2) 'A' Level passes to include Economics and at least one of, Accounts, Business Management, Government, Geography or Mathematics.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, one Science subject and one other Social Science or Commercial subject.","Economics, Mathematics and one other Social Science or Commercial subject."
ESTATE MANAGEMENT,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"(i) Two (2) ‘A’ Level passes in Economics and one (1) other relevant subject from English Langiuage, Mathematics, Geography, Biology, Technical Drawing, and Physics.   

(ii) ND/HND Lower Credit in Estate Management or allied professions","Five (5) SSCE credit passes including  English Language, Mathematics, Economics and any other two subjects from the following; Chemistry, Physics, Geography, Biology, Agricultural Science, Technical Drawing, Commerce and Computer Education, one of which must be a science subject.","Mathematics, Economics and one other subject"
GEOLOGY,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"(i) Two (2) 'A' Level passes from Geology, Chemistry, Mathematics, Physics, Biology and Geography.","Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and any other subject.","Any three (3) of Chemistry, Physics, Mathematics, Biology and Geography."
GUIDANCE & COUNSELLING,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"General Certificate of Education at Advanced Level in at least two teaching subjects or NCE with two-teaching subjects, in addition to five ‘O’ Level credits, including English and Mathematics as required for UTME candidates. Candidates with double teaching subjects (e.g.  Agricultural Science, PHE, Fine Arts, Home Economics, Business Education, Primary Education etc.) in NCE with the required ‘O’ level subjects are also eligible for Direct Entry.","Five (5) ‘O’ Level credits in English and Mathematics plus any three Arts, Social Science or Science subjects in WASC, GCE, NECO or its approved equivalents by Federal Ministry of Education (FME) and orNational Universities Commission (NUC)",Any three (3) subjects.
HISTORY & INTERNATIONAL STUDIES,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"Two (2) A Level passes including History/ Government, Religious Studies, Literature in English, Economics, Geogrphy, Yoruba, Igbo, Hausa","English Language, History and/or Government Any One orTwo of the following Subjects; Religious Studies, Literature in English, Civic Education, Geography,Economics,Yoruba, Igbo/Hausa",subjects from the Arts and Social Sciences.
INDUSTRIAL CHEMISTRY,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Physics and any of Mathematics/Biology/ Agricultural Science."
INDUSTRIAL RELATIONS & PERSONNEL MANAGEMENT,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"Two (2) 'A' Level passes chosen from Economics, Accounting, Business Management, Government, Geography and Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics plus any two (2) subjects listed under the Direct Entry column.","Mathematics, Economics and one other subject."
LAW,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"Two (2)'A' Level passes in Arts or Social Science subjects.

(ii)   NCE/ND/First Degree (Second Class Lower).",Five (5)'O' Level credit passes to include English Language and Literature in English.,Any three (3) Arts or Social Science subjects.
LIBRARY & INFORMATION SCIENCE,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"(i) Two (2) ‘A’ Level passes in relevant subjects.

 

(ii) NCE/ND credit or merit in relevant Arts, Social Science and Science programmes.","Five (5) ‘O’ Level credit passes to include English Language, Mathematics plus three (3) relevant subjects from Arts, Social Sciences and Sciences in WASC/GCE/NABTEB/NECO.",Any three (3) Arts or Social Science subjects
MASS COMMUNICATION,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"(1.) Diploma in Mass Communication, Journalism & Related disciplines ( 2) Passes in 2 major subjects in relevant areas in NCE.","Credit Passes in : - Mathematics,  English language & three other Arts or Social Science subjects in not more than two sittings",Any three (3) Arts and Social Science subjects.
MATHEMATICS,"AJAYI CROWTHER UNIVERSITY, OYO, OYO STATE",AJAYI,"Candidates seeking admission via Direct Entry must have a minimum of two (2) Advanced Level passes in Mathematics and any other of Physics, Chemistry, Economics, Geography, and other Science and Social Science related fields. The results must be obtained from a recognized Advanced Level qualification institution (IJMB, JUPEB, Monotechnic, Polytechnic and College of Education). The qualifications are in addition to the UTME requirement above.","(5) O’level credits in Mathematics, English Language, and any other three subjects among Physics, Chemistry, Biology, Further Mathematics, Technical Drawing, Agricultural Science, Geography and Economics. The credits must be obtained in no more than 2 sittings.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
