Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
EDUCATION & BIOLOGY,"NIGERIAN ARMY SCHOOL OF EDUCATION, ILORIN, ( AFFL TO TAI SOLARIN UNI OF EDU, IJA",NASE-DEG,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"NIGERIAN ARMY SCHOOL OF EDUCATION, ILORIN, ( AFFL TO TAI SOLARIN UNI OF EDU, IJA",NASE-DEG,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & COMPUTER SCIENCE,"NIGERIAN ARMY SCHOOL OF EDUCATION, ILORIN, ( AFFL TO TAI SOLARIN UNI OF EDU, IJA",NASE-DEG,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ENGLISH LANGUAGE,"NIGERIAN ARMY SCHOOL OF EDUCATION, ILORIN, ( AFFL TO TAI SOLARIN UNI OF EDU, IJA",NASE-DEG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & GEOGRAPHY,"NIGERIAN ARMY SCHOOL OF EDUCATION, ILORIN, ( AFFL TO TAI SOLARIN UNI OF EDU, IJA",NASE-DEG,"Two (2) 'A' Level passes/NCE merit which should include Geography

/Physics.","Five (5) SSC credit passes to include Geography, English Language and Mathematics.",Geography plus two (2) other Social Sciences/Arts subjects.
EDUCATION & HISTORY,"NIGERIAN ARMY SCHOOL OF EDUCATION, ILORIN, ( AFFL TO TAI SOLARIN UNI OF EDU, IJA",NASE-DEG,Two (2) NCE merit/'A' Level passes in History and one (1) other relevant Arts subject.,"Five (5) SSC credit passes in English Language, History and three (3) relevant Arts subjects.","History and any other two (2) subjects chosen from Christian Religious Studies / Islamic Studies, Literature in English, French, Yoruba, Geography/Physics, Economics, Government and Hausa."
EDUCATION & MATHEMATICS,"NIGERIAN ARMY SCHOOL OF EDUCATION, ILORIN, ( AFFL TO TAI SOLARIN UNI OF EDU, IJA",NASE-DEG,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & PHYSICS,"NIGERIAN ARMY SCHOOL OF EDUCATION, ILORIN, ( AFFL TO TAI SOLARIN UNI OF EDU, IJA",NASE-DEG,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATION & POLITICAL SCIENCE,"NIGERIAN ARMY SCHOOL OF EDUCATION, ILORIN, ( AFFL TO TAI SOLARIN UNI OF EDU, IJA",NASE-DEG,"(i) Two (2) 'A' Level passes in relevant subjects chosen from Government or History, Economics and Geography/Physics.

(ii) NCE merit in Government/History, Economics and Geography/Physics.","Five (5) 'O' Level credit passes or equivalent to include English Language, Government/History and three (3) other subjects.",Government or History plus two (2) other Arts or Social Sciences subjects.
PHYSICAL & HEALTH EDUCATION,"NIGERIAN ARMY SCHOOL OF EDUCATION, ILORIN, ( AFFL TO TAI SOLARIN UNI OF EDU, IJA",NASE-DEG,"(i)  Two (2) 'A' Level passes in any of Biology, Chemistry, Physics and Mathematics.

 

(ii)  NCE merit in Physical Education and credit in Arithmetical process or Mathematics.

 

(iii)  Diploma in Health Education, Environmental Sanitation, Physical Education, Social work, Health Administration with overall grades of merit plus three (3) 'O' Level credit passes/TC II merit which should include English Language.

 

(iv) NCE in Biology, Health Education, and Integrated Science with a pass grade plus two (2) 'O' Level credit passes/TC II merit passes.

 

(v)    Registered Nurse plus five (5) 'O' Level credit passes to include English Language.","i) Five (5) SSC credit passes/TC II merit passes including     English Language, Biology or its equivalent.

 

ii) Five (5) SSC credit passes/TC II merit passes to include English Language and Mathematics.",Biology and any two (2) relevant subjects.
TEACHER EDUCATION SCIENCE:,"NIGERIAN ARMY SCHOOL OF EDUCATION, ILORIN, ( AFFL TO TAI SOLARIN UNI OF EDU, IJA",NASE-DEG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
