Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
BUSINESS EDUCATION,"KADUNA STATE COLLEGE OF EDUCATION, GIDAN-WAYA (AFFLIATTED TO ABU), KADUNA STATE",COE-KAD,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
CHRISTIAN RELIGIOUS STUDIES,"KADUNA STATE COLLEGE OF EDUCATION, GIDAN-WAYA (AFFLIATTED TO ABU), KADUNA STATE",COE-KAD,Two (2) ‘A’ Level passes/NCE to include CRS/Religious Studies.,"Five (5) SSC credit passes in English Language, CRS and three (3) other relevant subjects.",Two (2) Arts subjects including CRS and any other subject.
EDUCATION & AGRICULTURAL SCIENCE,"KADUNA STATE COLLEGE OF EDUCATION, GIDAN-WAYA (AFFLIATTED TO ABU), KADUNA STATE",COE-KAD,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
EDUCATION & ENGLISH LANGUAGE,"KADUNA STATE COLLEGE OF EDUCATION, GIDAN-WAYA (AFFLIATTED TO ABU), KADUNA STATE",COE-KAD,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & GEOGRAPHY,"KADUNA STATE COLLEGE OF EDUCATION, GIDAN-WAYA (AFFLIATTED TO ABU), KADUNA STATE",COE-KAD,"Two (2) 'A' Level passes/NCE merit which should include Geography

/Physics.","Five (5) SSC credit passes to include Geography, English Language and Mathematics.",Geography plus two (2) other Social Sciences/Arts subjects.
EDUCATION & ISLAMIC STUDIES,"KADUNA STATE COLLEGE OF EDUCATION, GIDAN-WAYA (AFFLIATTED TO ABU), KADUNA STATE",COE-KAD,"(i) NCE merit in Islamic Studies and Education.

 

(ii) 'A' Level passes in Arabic/ Islamic Studies and any other relevant subject.","Five (5) SSC credit passes including English Language, Islamic Studies and three (3) other relevant subjects.",Islamic Studies/Arabic and two (2) other Social Science or Arts subjects.
EDUCATIONAL ADMINISTRATION & PLANNING,"KADUNA STATE COLLEGE OF EDUCATION, GIDAN-WAYA (AFFLIATTED TO ABU), KADUNA STATE",COE-KAD,"(i) Two (2)'A' Level passes from Literature in English, History, Christian Religious Studies/Islamic Studies, Hausa, Yoruba and Igbo with 'O' Level pass in Mathematics.

(ii)  NCE merit in the subjects listed above.","(i) Five (5)'O' Level credit passes to include English Language, Mathematics and Economics.

(ii)  Five (5) TC II merit including English Language and Mathematics.","Any three (3) of Literature In English, History, French, Geography/Physics, Economics and Mathematics."
GUIDANCE & COUNSELLING,"KADUNA STATE COLLEGE OF EDUCATION, GIDAN-WAYA (AFFLIATTED TO ABU), KADUNA STATE",COE-KAD,'A' Level passes or NCE in two (2) subjects plus the UTME requirements.,Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language with 'O' Level pass in Mathematics.,Any three (3) subjects.
HOME ECONOMICS & EDUCATION,"KADUNA STATE COLLEGE OF EDUCATION, GIDAN-WAYA (AFFLIATTED TO ABU), KADUNA STATE",COE-KAD,"(i)    NCE merit in Home Economics

(ii) 'A' Level passes in two (2) of Chemistry or any Biology, Botany and Agricultural Science.

(iii) ND/HND credit in Home Economics or Food Science or Hotel and Catering Management or any other related programme","Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language, Mathematics, Home Economics, Biology and Chemistry.","Chemistry, Biology or Agricultural Science and one (1) other subject."
PHYSICAL & HEALTH EDUCATION,"KADUNA STATE COLLEGE OF EDUCATION, GIDAN-WAYA (AFFLIATTED TO ABU), KADUNA STATE",COE-KAD,"(i)  Two (2) 'A' Level passes in any of Biology, Chemistry, Physics and Mathematics.

 

(ii)  NCE merit in Physical Education and credit in Arithmetical process or Mathematics.

 

(iii)  Diploma in Health Education, Environmental Sanitation, Physical Education, Social work, Health Administration with overall grades of merit plus three (3) 'O' Level credit passes/TC II merit which should include English Language.

 

(iv) NCE in Biology, Health Education, and Integrated Science with a pass grade plus two (2) 'O' Level credit passes/TC II merit passes.

 

(v)    Registered Nurse plus five (5) 'O' Level credit passes to include English Language.","i) Five (5) SSC credit passes/TC II merit passes including     English Language, Biology or its equivalent.

 

ii) Five (5) SSC credit passes/TC II merit passes to include English Language and Mathematics.",Biology and any two (2) relevant subjects.
