Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTANCY/ACCOUNTING,"IGNATIUS AJURU UNIVERSITY OF EDUCATION, PORT HARCOURT, RIVERS STATE",IAUED,"Candidates seeking admission by direct entry are expected to possess, in addition to credit level passes in English Language, Mathematics, Economics or Commerce and any two from the following subjects: Government, Book-Keeping, Accounting, History, CRK, Business Methods, Typewriting, Literature in English, Biology, at least credit in National Diploma certificate or three year NCE programme width passes in Accounting and or related subject areas such as Finance, Banking, Marketing and Management.","Five (5) O’level credits in English Language, Mathematics, Economics/Commerce and any other two subjects from Government, Book-Keeping, Accounting, History, C.R.K, Business Methods, Typewriting, Literature in English, Biology etc","English Language, Mathematics, Economics and Government."
ACCOUNTING,"IGNATIUS AJURU UNIVERSITY OF EDUCATION, PORT HARCOURT, RIVERS STATE",IAUED,"Candidates seeking admission by direct entry are expected to possess, in addition to credit level passes in English Language, Mathematics, Economics or Commerce and any two from the following subjects: Government, Book-Keeping, Accounting, History, CRK, Business Methods, Typewriting, Literature in English, Biology, at least credit in National Diploma certificate or three year NCE programme width passes in Accounting and or related subject areas such as Finance, Banking, Marketing and Management.","Five (5) O’level credits in English Language, Mathematics, Economics/Commerce and any other two subjects from Government, Book-Keeping, Accounting, History, C.R.K, Business Methods, Typewriting, Literature in English, Biology etc","English Language, Mathematics, Economics and Government."
ADULT EDUCATION,"IGNATIUS AJURU UNIVERSITY OF EDUCATION, PORT HARCOURT, RIVERS STATE",IAUED,"Merits or credits in 3 subjects areas in NCE, GCE A’Levels, OND etc.  A minimum of 5 O’Level credit passes in not more than 2 sittings BUT no subject shall be counted at both the ordinary and Advance O’Levels.",SSCE/GCE O’Level with credit in 5 subjects which must include English Language and Mathematics Or TCII certificate with credit or merit in 3 subjects but credit/merit are required in English Language and Mathematics.,"English Language, Mathematics and any other two subjects"
ADULT EDUCATION AND COMMUNUITY DEVELOPMENT,"IGNATIUS AJURU UNIVERSITY OF EDUCATION, PORT HARCOURT, RIVERS STATE",IAUED,"Merits or credits in 3 subjects areas in NCE, GCE A’Levels, OND etc.  A minimum of 5 O’Level credit passes in not more than 2 sittings BUT no subject shall be counted at both the ordinary and Advance O’Levels.",SSCE/GCE O’Level with credit in 5 subjects which must include English Language and Mathematics Or TCII certificate with credit or merit in 3 subjects but credit/merit are required in English Language and Mathematics.,"English Language, Mathematics and any other two subjects"
AGRICULTURAL SCIENCE & EDUCATION,"IGNATIUS AJURU UNIVERSITY OF EDUCATION, PORT HARCOURT, RIVERS STATE",IAUED,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURE,"IGNATIUS AJURU UNIVERSITY OF EDUCATION, PORT HARCOURT, RIVERS STATE",IAUED,Two passes at the Advanced level or two NCE passes not lower than Merit; one of the merit passes must be in Agricultural science/Biology/Health science/ Animal husbandry/Fisheries.,"Five Credit passes in WASC/NECO/ GCE  in  

English Language, Mathematics, and any three of Agricultural Science/Biology

Chemistry, Physics, Animal husbandry, Fisheries, Economics.","English language, Chemistry and two of  Agricultural Science, Biology,

Chemistry, Physics, Animal husbandry, Fisheries,  Economics, Geography, Book Keeping."
BANKING AND FINANCE,"IGNATIUS AJURU UNIVERSITY OF EDUCATION, PORT HARCOURT, RIVERS STATE",IAUED,"Candidates seeking admission through direct entry are expected to possess, in addition to credit level passes in English Language, Mathematics, Economics or Commerce and any two from the following subjects: Government, Book-Keeping, Accounting, History, CRK, Business Methods, Typewriting, Literature in English, Biology, at least credit in National Diploma certificate or three year NCE programme width passes in Accounting and or related subject areas such as Finance, Banking, Marketing and Management.","Five (5) O’level credits in English Language, Mathematics, Economics/Commerce and any other two subjects from Government, Book-Keeping, Accounting, History, C.R.K, Business Methods, Typewriting, Literature in English, Biology etc","English Language, Mathematics, Economics and Government."
BIOLOGY,"IGNATIUS AJURU UNIVERSITY OF EDUCATION, PORT HARCOURT, RIVERS STATE",IAUED,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS EDUCATION,"IGNATIUS AJURU UNIVERSITY OF EDUCATION, PORT HARCOURT, RIVERS STATE",IAUED,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
CHEMISTRY,"IGNATIUS AJURU UNIVERSITY OF EDUCATION, PORT HARCOURT, RIVERS STATE",IAUED,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
