Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
BANKING & FINANCE,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BUSINESS ADMINISTRATION,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
COMPUTER SCIENCE,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
DATA SCIENCE,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,[Not Available],[Not Available],[Not Available]
ECONOMICS,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
HUMAN RESOURCES MANAGEMENT,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,"Two (2) 'A' Level passes chosen from Economics, Accounting, Business Management, Government, Geography and Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics plus any two (2) subjects listed under the Direct Entry column.","Mathematics, Economics plus one (1) other subject."
INFORMATION SYSTEMS,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
INTERNATIONAL RELATIONS,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
LAW,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,[Not Available],[Not Available],[Not Available]
MASS COMMUNICATION,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MEDICAL LABORATORY SCIENCE,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,"'A' Level passes   to include Physics, Chemistry and Biology or Zoology","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology","Physics, Chemistry and Biology"
NURSING,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,"(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

 

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes in Mathematics, Chemistry, Biology, Physics and English Language.","Physics, Chemistry and Biology."
PEACE STUDIES & CONFLICT RESOLUTION,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,Two (2) 'A' Level passes in Government and one other Social Science subject,Five (5) SSC credit passes  including English Language Government or History and at least a pass in Mathematics,Three (3) Arts or Social Science subjects
PHYSIOTHERAPY,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,"Two (2) ‘A’ Level passes chosen from Physics, Chemistry and Biology.","Five (5) SSC credit passes in English Language, Maths, Biology, Physics and Chemistry.","Physics, Chemistry and Biology."
PUBLIC HEALTH,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,[Not Available],[Not Available],[Not Available]
SOFTWARE ENGINEERING,"MARYAM ABACHA AMERICAN UNIVERSITY OF NIGERIA, KANO, KANO STATE",MAAUN,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
