Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,"To qualify for entry into the 3-year programme for the award of a B.Sc. Degree in Accounting, a candidate must fulfil the following:

a. Possess Five O’ level credit passes at not more than two sittings including English Language, Mathematics, Economics and any other two subjects from the following: Geography, Biology, Commerce, Government, Account and Book-keeping at not more than two sittings.

b. Possess two A’ Level passes in relevant commercial courses acceptable to the University.

c. Possess Ordinary National Diploma Lower Credit in relevant courses including Accounting, Finance, Insurance, Banking and other Financial Studies courses.

d. Possess National Certificate of Education, Merit in relevant courses including Accounting, Finance, Insurance, Banking and other Financial Studies courses","Possess Five O’ level credit passes at not more than two sittings including English Language, Mathematics, Economics and any other two subjects from the following: Geography, Biology, Commerce, Government, Account and Book-keeping at not more than two sittings.","English Language, Mathematics, Economics and any other subject."
BIOCHEMISTRY,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,Direct entry into 200 Level must have at least five ordinary level credits with a minimum of two relevant subjects at GCE/IJMB Advanced Level or any approved equivalents in relevant subjects.,"Good scores in UTME and must have the following minimum qualifications in SSCE or its equivalent with credit level passes in five subjects at not more than two sittings. These include; English Language, Mathematics, Biology, Chemistry and Physics. Candidates must have an acceptable score in Post UTME Screening.","U.T.M.E subjects are English language, Biology, Chemistry and Physics"
BIOLOGY,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,"Candidates seeking admission by Direct Entry into 200 Level in B.Sc (Hons) Biology must have at least five (5) O’level credits in English Language, Mathematics, Biology, Chemistry and Physics, and are also required to have passed a minimum of two (2) relevant subjects (which must include Biology) at JUPEB, GCE/IJMB Advanced level or any approved equivalents in relevant science subjects.","Candidates should possess the following minimum qualifications: SSCE or its equivalents with credit level passes in five subjects at not more than two (2) sittings. These include English Language, Mathematics, Biology, Chemistry and Physics. Candidates must also earn an acceptable score in the post UTME screening.","U.T.M.E subjects are English language, Biology, Chemistry and Physics"
BIOMEDICAL TECHNOLOGY,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,[Not Available],[Not Available],[Not Available]
BIOTECHNOLOGY,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,Direct entry into 200 Level must have at least five ordinary level credits with a minimum of two relevant subjects at GCE/IJMB Advanced Level or any approved equivalents in relevant subjects.,"Good scores in UTME and must have the following minimum qualifications in SSCE or its equivalent with credit level passes in five subjects at not more than two sittings. These include; English Language, Mathematics, Biology, Chemistry and Physics. Candidates must have an acceptable score in Post UTME Screening.","U.T.M.E subjects are English language, Biology, Chemistry and Physics"
BUSINESS ADMINISTRATION,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,"In addition to the ordinary level requirements, candidates for admission should possess Ordinary National Diploma from a recognized tertiary institution, with a minimum of 2nd Class Lower Division.","Candidates seeking admission to the four year Degree programme should possess SSCE or their equivalents with at least five credit passes which must include English Language, Mathematics and Economics and pass at the University Tertiary Matriculation Examination (UTME).","English Language, Mathematics, Economics and one other subject."
CHEMISTRY,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,"Students with an Ordinary National Diploma from an accredited polytechnic or other equivalent institutions, will be considered for admission provided they graduated from the respective institutions with a minimum of Lower Credit grade (or its equivalent) in addition to fulfilling the O’ Level subject requirement listed above. Candidates with at least two passes in JUPEB/IJMB or its equivalent in relevant subjects may be considered for admission through direct entry into second year.","The prospective candidates must have a minimum of five credits in Mathematics, English Language, Chemistry, Physics and any other relevant science subjects at the Ordinary level (O’ Levels) Senior Secondary School Certificate Examinations at not more than two sittings.","The UTME subject combination required for admission is English Language, Chemistry and any of Physics, Mathematics and Biology."
COMPUTER SCIENCE,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,Direct Entry—Candidates seeking admission by Direct Entry into 200 level Computer Science degree programme of the University must have at least five (5) O’level credits with a minimum of two (2) relevant subjects at Advance level of any approved equivalents,"UTME- for admission into Computer Science first degree programme of the University, candidates are required to possess at least credit level passes in five subjects including English Language, Mathematics, Physics, Chemistry and any of Biology/Agricultural Science/Economics/Geography in SSCE or its equivalents at not more than two (2) sittings. In addition, candidates must also earn an acceptable pass mark in the UTME and post UTME screening.","UTME SUBJECTS: The Unified Tertiary Matriculation Examination (UTME) subjects are English Language, Mathematics, Physics and Chemistry."
CYBER SECURITY,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,"Admission through Direct Entry is for a three year programme, starting at 200 level. The candidate must have five credit passes at WASCE or its equivalent in relevant subjects, including English Language, Mathematics, Chemistry and Physics, and any one of Economics/Geography, Biology/Agricultural Science, at not more than two sittings. In addition, candidates must have A-Level passes in two relevant subjects from Mathematics and  Physics or Chemistry. Candidates with appropriate ND/OND/HND or NCE passes in relevant courses may also be considered for admission.

Holders of HND at minimum of Lower Credit in Computer Science are eligible for consideration for admission into 300 level.","Admission through the UTME is for a four year programme. The candidate must have five credit passes at WASCE or its equivalent in relevant subjects including English Language, Mathematics, Chemistry and Physics, and any one of Economics/Geography, Biology/Agricultural Science, at not more than two sittings. In addition, candidates must have the required acceptable score at the Unified Tertiary Matriculation Examination (UTME).","The UTME subject must be English Language, Mathematics, Physics and Chemistry/any science subject."
ECONOMICS,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,"To be considered for admission into the 3-year degree programme, candidates must have passed, at credit level, five subjects including English Language, Economics and Mathematics and other two relevant subjects in either Arts or Social Sciences at the Senior Secondary School Certificates/GCE Ordinary Level or its equivalent in addition to two A Level passes or JUPEB or its equivalents in relevant subjects including Economics.

(Note: Commerce is not one of the subjects accepted in the Department of Economics).","Candidates must have obtained credit passes in five subjects at a sitting or five subjects at not more than two sittings at ‘O’ Level/Senior Secondary Certificate (WAEC, NECO etc.) Examinations.  The credits must include English Language, Mathematics, Economics and any other two subjects in Arts or Social Sciences.","Candidates must take at the UTME, English Language, Mathematics, Economics and any other Arts or Social Sciences subjects."
ENGLISH LANGUAGE,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,"In addition to the above stated “O” level subjects, ONLY candidates who possess JUPEBIJMB result or Diploma in English language-related courses result are considered for admission. Such Diploma MUST be with minimum of Lower Credit. A candidate who has successfully gone through the JUPEB Foundation programme in two relevant Arts and Social Science subjects is also qualified to be considered for admission.","It is required that candidates must possess 5 O’ Level Credits at not more than two (2) sittings including English Language, Literature-in-English and any other three subjects in arts or social sciences.","Candidates must take at the Unified Tertiary Matriculation Examinations [UTME], English Language, Literature in English and any other two subjects from the Social Sciences and the Arts."
FINANCE,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,"Possess Five O’ level credit passes at not more than two sittings including English Language, Mathematics, Economics and any other two subjects from the following: Geography, Biology, Commerce, Government, Account and Book-keeping at not more than two sittings.

b. Possess three A’ Level passes in TWO relevant commercial courses acceptable to the University.

c. Possess Ordinary National Diploma Lower Credit in relevant courses including Accounting, Finance, Insurance, Banking and other Financial Studies courses.

d. Possess National Certificate of Education, Merit in relevant courses including Accounting, Finance, Insurance, Banking and other Financial Studies courses.","Possess Five O’ level credit passes at not more than two sittings including English Language, Mathematics, Economics and any other two subjects from the following: Geography, Biology, Commerce, Government, Account and Book-keeping at not more than two sittings.","English Language, Mathematics, Economics, and any other subjects."
FINE & APPLIED ARTS,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,"Candidate for Direct Entry must have good passes at the GCE A/L, ND, NCE or their equivalents provided he/she meets the minimum entry requirements. In addition, the candidate for direct entry admission must submit a portfolio containing samples of his/her works to the Head of the Department of Fine & Applied Arts at the time he/she is returning the application forms to the Admissions office.           

Holders of HND at minimum of Lower Credit in Fine and Applied Arts are eligible for consideration for admission into 300 level.","English Language, Mathematics and Any other three subjects from Arts, Science or Commercial.","English Language and  Any three (3) Arts, Science, or Social Sciences subjects."
FOOD SCIENCE & TECHNOLOGY,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,"Direct Entry candidates must fulfil the O’level requirement above and have a minimum of Lower Credit at the ND Examination or equivalent from a recognized institution or G.C.E (Advanced Level) or equivalent in at least two science subjects including Biology or Agricultural Science to qualify for admission into 200 level of the programme.

Holders of HND at minimum of Lower Credit in relevant discipline are eligible for consideration for admission into 300 level.","Candidates must have five credits in O’ level or SSCE or NECO at not more than two sittings to include credit pass in Mathematics, English, Chemistry, Biology/Agricultural Science and Physics           .","English language, Chemistry, Physics or Mathematics and Biology/Agricultural Science"
FOOD SCIENCE AND TECHNOLOGY,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,Direct Entry candidates must fulfil the O’level requirement above and have a minimum of Lower Credit at the ND Examination or equivalent from a recognized institution or G.C.E (Advanced Level) or equivalent in at least two science subjects including Biology or Agricultural Science to qualify for admission into 200 level of the programme.,"Candidates must have five credits in O’ level or SSCE or NECO at not more than two sittings to include credit pass in Mathematics, English, Chemistry, Biology/Agricultural Science and Physics           .","English language, Chemistry, Physics and any other ONE of Mathematics, Biology/Agricultural Science"
GEOLOGY,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,"Direct Entry candidates must fulfil the conditions in O’ Level requirements and have a minimum of Lower Credit at the ND Examination or equivalent from a recognized institution or G.C.E (Advanced Level) or equivalent in at least two science subjects including Physics and Chemistry to qualify for admission into 200 level of the programme.

 

Holders of HND at minimum of Lower Credit in relevant discipline are eligible for consideration for admission into 300 level.","Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and any other Science subject.","The University Tertiary Matriculation Examination (UTME) subject requirements include: English language, Physics, Chemistry and Biology/ any Science subject."
GEOPHYSICS,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,Direct Entry candidates must fulfil the conditions in 1 (above) and have a minimum of Lower Credit at the ND Examination or equivalent from a recognized institution or G.C.E (Advanced Level) or equivalent from a recognized institution or G.C.E (Advanced Level) or equivalent in at least two science subjects including Physics and Mathematics to qualify for admission into 200 level of the programme.,"Candidates must have five credits in O’level at not more than two sittings to include: English, Mathematics, Physics, Chemistry, and any one of Further Mathematics/Biology/Agricultural Science.","Candidates must have the following combinations in UTME: English language, Physics, Mathematics and any one of Chemistry/Further Mathematics/Biology/Agricultural Science."
INDUSTRIAL CHEMISTRY,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,"Students with an Ordinary National Diploma from an accredited polytechnic or other equivalent institutions, will be considered for admission provided they graduated from the respective institutions with a minimum of Lower Credit grade (or its equivalent) in addition to fulfilling the O’ Level subject requirement listed above. Candidates with Advanced Level results with at least a credit (Grade C) in Chemistry in addition to pass in two others subjects including Mathematics and/or Physics or any Biological or Agricultural Science subjects may be considered for admission through direct entry into second year.

Holders of HND at minimum of Lower Credit in relevant discipline are eligible for consideration for admission into 300 level.","The prospective candidates must have a minimum of five credits in Mathematics, English Language, Chemistry, Physics and any other relevant science subjects at the Ordinary level (O’ Levels) Senior Secondary School Certificate Examinations","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INDUSTRIAL RELATIONS & PERSONNEL MANAGEMENT,"MOUNTAIN TOP UNIVERSITY, MAKOGI-OBA, OGUN STATE",MOUNT_TOP,"In addition to the ordinary level requirements above, candidates for admission should possess Ordinary National Diploma from a recognised tertiary institution, with a minimum of 2nd Class Lower Division in relevant programmes.","Candidates must have obtained Five (5) Credit passes at not more than two sitting in five (5) subjects including English Language, Mathematics and Economics at SSCE, NECO and GCE Ordinary Level.","Candidates are expected to take English Language, Economics and two (2) other subjects at the UTME."
