Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE & EDUCATION,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
BUSINESS EDUCATION,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
EARLY CHILDHOOD EDUCATION,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,Two (2) ‘A’ Level passes chosen from relevant subjects.,Five (5) ‘O’ Level credit passes including English Language.,Any three (3) subjects.
EDUCATION & BIOLOGY,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & CHRISTIAN RELIGIOUS STUDIES,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION & COMPUTER SCIENCE,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ECONOMICS,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION & ENGLISH LANGUAGE,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & FRENCH,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,Two (2) 'A' Level passes/NCE merit in French and one(1) other Arts subject.,Five (5) SSC credit passes to include English Language and French.,French plus two (2) other Arts subjects.
EDUCATION & GEOGRAPHY,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,"Two (2) 'A' Level passes/NCE merit which should include Geography

/Physics.","Five (5) SSC credit passes to include Geography, English Language and Mathematics.",Geography plus two (2) other Social Sciences/Arts subjects.
EDUCATION & IGBO,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,Two (2) NCE/'A' Level passes in Igbo and any relevant subject.,Five (5) SSC credit passes including English Language and Igbo.,Igbo and two (2) other Arts subjects.
EDUCATION & INTEGRATED SCIENCE,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,"(i) NCE Integrated         Science

 

(ii)   NCE Science

       Education

 

(iii)  'A' Level         passes in two (2)Science subjects","Five (5) SSC credit passes including Biology, Chemistry, English Language and Mathematics","Any three (3) of Mathematics, Chemistry, Physics, Biology and Agricultural Science."
EDUCATION & MATHEMATICS,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & MUSIC,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,Two (2) 'A' Level passes/NCE merit in Music.,Five (5) SSC credit passes including Music and English Language.,Music and any other two (2) Arts/Social Science subjects.
EDUCATION & PHYSICS,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATION & POLITICAL SCIENCE,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,"(i) Two (2) 'A' Level passes in relevant subjects chosen from Government or History, Economics and Geography/Physics.

(ii) NCE merit in Government/History, Economics and Geography/Physics.","Five (5) 'O' Level credit passes or equivalent to include English Language, Government/History and three (3) other subjects.",Government or History plus two (2) other Arts or Social Sciences subjects.
EDUCATION & SOCIAL STUDIES,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
EDUCATION FINE & APPLIED ARTS,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,"(i)    NCE merit in Fine and Applied Arts Double Major.

(ii)'A' Level passes in Fine Arts and any other subject.",Five (5) 'O' Level credit passes or TC II or NTC/NBC merit including Fine Art and English Language.,"Fine Arts, one (1) other Arts subject and any other subject."
EDUCATION/HISTORY & INTERNATIONAL STUDIES,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,Two (2) NCE merit/'A' Level passes in History and one (1) other relevant Arts subject.,"Five (5) SSC credit passes in English Language, History and three (3) relevant Arts subjects.","History and any other two (2) subjects chosen from Christian Religious Studies / Islamic Studies, Literature in English, French, Yoruba, Geography/Physics, Economics, Government and Hausa."
GUIDANCE & COUNSELLING,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,'A' Level passes or NCE in two (2) subjects plus the UTME requirements.,Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language with 'O' Level pass in Mathematics.,Any three (3) subjects.
HOME ECONOMICS & EDUCATION,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,"(i)    NCE merit in Home Economics

(ii) 'A' Level passes in two (2) of Chemistry or any Biology, Botany and Agricultural Science.

(iii) ND/HND credit in Home Economics or Food Science or Hotel and Catering Management or any other related programme","Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language, Mathematics, Home Economics, Biology and Chemistry.","Chemistry, Biology or Agricultural Science and one (1) other subject."
PHYSICAL & HEALTH EDUCATION,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,"(i)  Two (2) 'A' Level passes in any of Biology, Chemistry, Physics and Mathematics.

 

(ii)  NCE merit in Physical Education and credit in Arithmetical process or Mathematics.

 

(iii)  Diploma in Health Education, Environmental Sanitation, Physical Education, Social work, Health Administration with overall grades of merit plus three (3) 'O' Level credit passes/TC II merit which should include English Language.

 

(iv) NCE in Biology, Health Education, and Integrated Science with a pass grade plus two (2) 'O' Level credit passes/TC II merit passes.

 

(v)    Registered Nurse plus five (5) 'O' Level credit passes to include English Language.","i) Five (5) SSC credit passes/TC II merit passes including     English Language, Biology or its equivalent.

 

ii) Five (5) SSC credit passes/TC II merit passes to include English Language and Mathematics.",Biology and any two (2) relevant subjects.
PRIMARY EDUCATION,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,Two (2) ‘A’ Level passes chosen from relevant subjects.,Five (5) ‘O’ Level credit passes including English Language.,Any three (3) subjects.
TEACHER EDUCATION SCIENCE:,"NWAFOR ORIZU COLLEGE OF EDUCATION, NSUGBE. (AFFL TO UNN), ANAMBRA STATE",NSUGBE,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
