Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ANATOMY,"NOK UNIVERSITY, KACHIA, KADUNA STATE",NOK,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
ARCHITECTURE,"NOK UNIVERSITY, KACHIA, KADUNA STATE",NOK,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

 

(ii)   ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BIOTECHNOLOGY,"NOK UNIVERSITY, KACHIA, KADUNA STATE",NOK,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
COMPUTER SCIENCE,"NOK UNIVERSITY, KACHIA, KADUNA STATE",NOK,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)           NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY,"NOK UNIVERSITY, KACHIA, KADUNA STATE",NOK,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)           NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ENVIRONMENTAL MANAGEMENT,"NOK UNIVERSITY, KACHIA, KADUNA STATE",NOK,"Two (2) 'A' Level passes in Mathematics or Geography and one of Economics, Physics and Chemistry.",Five (5) SSC credit passes to include Geography and any other four (4) relevant subjects plus a pass in English Language.,"Mathematics, Geography and any one of Economics, Physics and Chemistry."
HEALTH INFORMATION,"NOK UNIVERSITY, KACHIA, KADUNA STATE",NOK,"(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

 

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes in Mathematics, Chemistry, Biology, Physics and English Language.","Physics, Chemistry and Biology."
INDUSTRIAL CHEMISTRY,"NOK UNIVERSITY, KACHIA, KADUNA STATE",NOK,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

 

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INFORMATION TECHNOLOGY,"NOK UNIVERSITY, KACHIA, KADUNA STATE",NOK,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
MEDICAL LABORATORY SCIENCE,"NOK UNIVERSITY, KACHIA, KADUNA STATE",NOK,"'A' Level passes   to include Physics, Chemistry and Biology or Zoology","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology","Physics, Chemistry and Biology"
