Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
AGRIC-ECONOMICS & EXTENSION,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science plus Mathematics or Physics."
AGRICULTURAL EDUCATION,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURAL ENGINEERING,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","Mathematics, Chemistry and Physics."
AGRICULTURAL SCIENCE & EDUCATION,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"At least Merit grade at NCE in Agricultural Education.

 

At least two (2) ‘A’ level passes at GCE/NABTEB/IJMB/JUPEB or equivalent in Biology/Agricultural Science, and any one (1) of Chemistry, Geography, Economics, Physics, Animal Husbandry and Fisheries.

 

At least Lower Credit Pass at ND in areas related to Agricultural Education.

 

In addition to UTME requirements","Five ‘O’ level credit passes to include English Language, Mathematics, Biology/Agricultural Science, Chemistry and any one (1) of Geography, Economics, Physics, Animal Husbandry or Fisheries.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURE,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANIMAL & ENVIRONMENTAL BIOLOGY,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
ANIMAL SCIENCE,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,Two (2) ‘A’ level passes or its equivalent in Chemistry and one of Biology/Botany/Zoology/Agriculture Science/Geography/Geology/Mathematics/Economics.,"Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Biology/Agric Science and one of Physics, Geography or Economics.","Chemistry, Biology/Agriculture and Mathematics /Physics."
ARCHITECTURE,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
BANKING & FINANCE,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"Two (2) 'A' Level passes in Chemistry and any one of Physics, Biology/ Zoology/Botany and Mathematics.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Physics, Chemistry and Biology."
BOTANY & ECOLOGICAL STUDIES,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUILDING,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"'A' Level passes in Mathematics, Physics and Chemistry.","Five (5) SSC credit passes in Mathematics, English Language, Physics, Chemistry and any one of Geography, Economics, Arts and Technical drawing. For holders of NTC, the other relevant subjects could be Intro. to Building Construction, Bricklaying, Concreting, Walls, Floors and Ceiling Finishing, Building/Engineering Drawing, Joinery, Carpentry, Gas, Steam Work and Bronze Welding, Cold / Hot Water Supply, Sanitation and Drainage.","Mathematics, Physics and Chemistry"
BUSINESS EDUCATION,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"At least Merit grade at NCE in Business Education

 

 

At least two (2) ‘A’ level passes at                GCE/NABTEB/IJMB/JUPEB or equivalent in              relevant Business/Social Science subjects.
At least Lower Credit Pass at ND in areas related to Business.
In addition to UTME requirements","Five ‘O’ level credit passes to include English Language, Mathematics, Economics and any other two (2) subjects from either Business/Social Science/Science.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
BUSINESS MANAGEMENT,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
CHEMICAL ENGINEERING,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"'A' Level passes in Physics, Chemistry and Mathematics.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics and English Language and any other Science subject.","Mathematics, Physics and Chemistry."
CHEMISTRY,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CIVIL ENGINEERING,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,(i) 'A' Level passes in Physics and Mathematics. (ii) ND/HND upper credit at appropriate levels.,"Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
COMMUNICATION ARTS,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,Two ‘A’ Level passes or equivalent in Arts or Social Science subjects.,"Five (5) SSC credit passes or equivalent including English  Language, Literature in English, Arts/ Music depending on the combination.",Any three (3) Arts or Social Science subjects.
COMPUTER EDUCATION,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"At least Merit grade at NCE in Computer Education, Physics or Mathematics.

 

At least two (2) ‘A’ level passes at GCE/NABTEB/IJMB/JUPEB or equivalent in Physics and Mathematics;

 

At least Lower Credit Pass at ND in any Computer Science related courses.

 

HND in Computer, Computer Engineering or Computer related studies;

 

Bachelor of Science degree in any Computer Science related discipline.

 

 

In addition to UTME requirements.","Five ‘O’ level credit passes to include English Language, Mathematics, Physics and any other two (2)  relevant subjects from Chemistry, Biology/Agricultural Science, Computer Science, Economics, Geography.","Mathematics, Economics/ Commerce plus one (1) of Chemistry/Physics/Biology"
COMPUTER ENGINEERING,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"Three (3) 'A' Level passes in Pure Mathematics or Pure and Applied Mathematics, Chemistry and Physics.","Five (5) SSC credit passes to include Mathematics, Further Mathematics, Chemistry, Physics and 

English Language.","Mathematics, Physics and Chemistry."
COMPUTER SCIENCE,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CROP SCIENCE,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied)...","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics....","Chemistry, Biology/Agriculture and any one of Physics or Mathematics"
CURRICULUM STUDIES,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,Two (2) 'A' Level passes or Nce merit including the relevant subjects,Five (5) SSC credit passes including English Language.,Any three (3) subjects chosen from Arts/Science.
DENTAL SURGERY,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"Three (3) 'A' Level passes to include Chemistry, Biology/Zoology and Physics.","Five (5) SSC credit passes in English Language, Physics, Chemistry, Biology and Mathematics.","Chemistry, Biology and one (1) other Science subject."
DOCTOR OF PHARMACY,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"Three (3) 'A' Level passes in Chemistry, Biology/Zoology and Physics or Mathematics plus UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Physics, Chemistry and Biology."
ECONOMICS,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION & BIOLOGY,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"At least Merit grade at NCE in Biology and any other science subject.

 

At least two (2) ‘A’ level passes at GCE/NABTEB/IJMB/JUPEB or equivalent in Biology and any other subject.

 

ND (at least Lower Credit) in Biology.

 

In addition to UTME requirements","Five ‘O’ level credit passes to include English Language, Mathematics, Biology, and any other two (2) sciences subjects.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"UNIVERSITY OF UYO, AKWA IBOM STATE",UYO,"At least Merit grade at NCE in relevant science subjects including Chemistry.

 

At least two (2) ‘A’ level passes at GCE/NABTEB/IJMB/JUPEB or equivalent in Chemistry and any other science subject.

 

ND (at least Lower Credit) in Chemistry.

 

 

In addition to UTME requirements","Five ‘O’ level credit passes to include English Language, Mathematics, Chemistry and any other two (2) science subjects.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
