Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ARABIC STUDIES,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
BIOCHEMISTRY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
CHEMISTRY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION & ARABIC,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
EDUCATION & BIOLOGY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & COMPUTER SCIENCE,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ECONOMICS,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
EDUCATION & ENGLISH LANGUAGE,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
EDUCATION & GEOGRAPHY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
EDUCATION & HAUSA,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
EDUCATION & HISTORY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
EDUCATION & ISLAMIC STUDIES,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
EDUCATION & MATHEMATICS,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & PHYSICS,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATION & POLITICAL SCIENCE,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
EDUCATION & SOCIAL STUDIES,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
EDUCATIONAL MANAGEMENT,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,"Same as in Educational Psychology, Guidance and Counseling.","Same as in Educational Psychology, Guidance and Counseling.","Economics, Mathematics and one (1) other Social Science/Arts subject."
ENGLISH LANGUAGE,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
GEOGRAPHY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,"Two (2)'A' Level passes in Geography and any one of Economics., Government, Physics, Chemistry, Biology, and Mathematics","Five (5) SSC credit passes in English Language, Geography, and any three (3) from Arts or Social Science subjects with at least a pass in Mathematics.",Geography and two (2) other Arts or Social Science subjects
GUIDANCE & COUNSELLING,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,'A' Level passes or NCE in two (2) subjects plus the UTME requirements.,Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language with 'O' Level pass in Mathematics.,Any three (3) subjects.
HAUSA,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,Two (2) A’ Level passes in Hausa and any other relevant subjects.,Five (5) SSC credit passes to include English Language and Hausa.,"Hausa, Literature in English and any of Economics, Government, History and Arabic."
HISTORY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,Two (2) ‘A’ Level passes in History and any other related subjects.,Five (5) SSC credit passes to include History and English Language.,History and any other two (2) subjects from Arts and Social Sciences.
INDUSTRIAL CHEMISTRY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
INDUSTRIAL MATHEMATICS,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
INFORMATION TECHNOLOGY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
INTEGRATED SCIENCE,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
ISLAMIC STUDIES,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,Two (2) ‘A’ level passes to include Islamic Studies.,Five (5) SSC credit passes to include English Language and Islamic Studies or Arabic and any three (3) relevant subjects.,Islamic Studies plus two (2) other Arts subjects.
MATHEMATICS,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MICROBIOLOGY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
PHYSICS,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
PLANT BIOLOGY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
POLITICAL SCIENCE,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
SOCIOLOGY,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Three (3) Social Science or Arts subjects.
STATISTICS,"SOKOTO STATE UNIVERSITY, SOKOTO, SOKOTO STATE",SOSU,[Not Available],[Not Available],[Not Available]
