Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"BAYERO UNIVERSITY, KANO, KANO STATE",BAYERO,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ADULT EDUCATION,"BAYERO UNIVERSITY, KANO, KANO STATE",BAYERO,"(i)    Two (2) 'A' Level   passes.

(ii)           NCE merit in two (2) subjects.",Five (5) 'O' Level credit passes including English Language.,"Government/History, one (1) Social Science subject and any other subject."
AGRIC-ECONOMICS & EXTENSION,"BAYERO UNIVERSITY, KANO, KANO STATE",BAYERO,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science plus Mathematics or Physics."
AGRICULTURAL ENGINEERING,"BAYERO UNIVERSITY, KANO, KANO STATE",BAYERO,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","Mathematics, Chemistry and Physics."
AGRICULTURAL SCIENCE & EDUCATION,"BAYERO UNIVERSITY, KANO, KANO STATE",BAYERO,"(i) Two (2) passes at 'A' Level in Chemistry, Biology any other Science subject.

(ii) NCE merit in Chemistry and Biology.

        (iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Mathematics, Chemistry, Biology/Agricultural Science and another relevant subject.","Chemistry, Biology or Agriculture and Any other subject."
AGRICULTURE,"BAYERO UNIVERSITY, KANO, KANO STATE",BAYERO,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANATOMY,"BAYERO UNIVERSITY, KANO, KANO STATE",BAYERO,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
APPLIED BIOLOGY,"BAYERO UNIVERSITY, KANO, KANO STATE",BAYERO,"(i) Two (2) 'A' Level credit passes in Biology, Chemistry and Physics.




(ii) NCE minimum of eight (8) points in Biology and Chemistry minus Education.




(iii) National Diploma with minimum of Upper Credit in relevant programme.","Five (5) SSC credit passes  in English Language, Mathematics, Biology, Chemistry and any one (1) Physics and Geography.","Chemistry, Biology and either Physics or Mathematics."
ARABIC STUDIES,"BAYERO UNIVERSITY, KANO, KANO STATE",BAYERO,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
ARCHITECTURE,"BAYERO UNIVERSITY, KANO, KANO STATE",BAYERO,"(i)       Two (2) 'A' Level credit passes from Mathematics and Physics and any from Chemistry, Geography or Fine Arts.

(ii) ND with minimum of Upper credits in relevant field.

(iii) HND with minimum of Lower credits in relevant field.

(iv) GCE 'A' Level or its equivalent with credits passes at not more than two sittings in English, Mathematics, Physics and one (1) other subject from Geography, Chemistry, Biology, Technical Drawing and Fine Arts.

NCE Not accepted.","Five (5) SSC credit passes in English Language, Mathematics, Physics and any two (2), one of which must be selected from Further Mathematics, Chemistry, Biology, Geography Agricultural Science, Engineering/Technical Drawing, Building Construction, History, Literature, Music and Fine Arts.","Physics, Mathematics, and any of Chemistry, Geography, Biology or Fine Art."
