Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"KWARA STATE UNIVERSITY, MALETE, ILORIN, KWARA STATE",KWASU,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ACTUARIAL SCIENCE,"KWARA STATE UNIVERSITY, MALETE, ILORIN, KWARA STATE",KWASU,Two (2) ‘A’ Level passes to include Economics and Mathematics.,"Five (5) SSC credit passes to include English Language, Mathematics and Economics plus any other two (2)            relevant subjects.","Mathematics, Economics and one (1) other subject."
AERONAUTIC AND ASTRONAUTIC ENGINEERING,"KWARA STATE UNIVERSITY, MALETE, ILORIN, KWARA STATE",KWASU,[Not Available],[Not Available],[Not Available]
AGRICULTURAL EDUCATION,"KWARA STATE UNIVERSITY, MALETE, ILORIN, KWARA STATE",KWASU,"A pass at merit level in Agriculture or related subjects provided the SSCE requirements are met.

Advanced level passes in 2 of Biology, Agricultural Science and chemistry.  The SSCE, equivalent requirements must be met.

NCE with at an overall pass at merit level in Agricultural Science as a double major or in combination with relevant subject.

IJMB passes in 2 of Biology, Agricultural Science and Chemistry with the SSCE requirements satisfied

Any other equivalent qualifications  

In addition to the general requirements for graduation at the University, students of Agricultural Education must offer and pass courses totaling 150 credit hours for the five years programme or 120 credit hours in case of four years programme.  They must also complete and receive a pass grade in Teaching Practical and a research project report on a topic approved by the Department.","Five credit passes in SSCE or equivalent in Biology/ Agricultural Science, chemistry, economics, physics, English language and mathematics.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURAL ENGINEERING,"KWARA STATE UNIVERSITY, MALETE, ILORIN, KWARA STATE",KWASU,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","Mathematics, Chemistry and Physics."
AGRICULTURE,"KWARA STATE UNIVERSITY, MALETE, ILORIN, KWARA STATE",KWASU,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
AQUACULTURE AND FISHERIES MANAGEMENT,"KWARA STATE UNIVERSITY, MALETE, ILORIN, KWARA STATE",KWASU,"“A” Level Passes in the relevant subjects. ND with a minimum of Upper Credit  plus 5

Credits in WASCE/NECO/GCE “O” Level to be admitted into 200 Level.","Credit Passes in 5 WASCE/GCE/NECO

Subjects including English, Mathematics, Chemistry, Biology/ Agricultural Science, at least a pass in Physics.  The Credit pass in Agric. Science must be backed up by at least a pass in Biology.  Universities may determine the level of Credit pass for admission","Chemistry, Biology/Agricultural Science and any other Science subject."
ARABIC EDUCATION,"KWARA STATE UNIVERSITY, MALETE, ILORIN, KWARA STATE",KWASU,[Not Available],"In addition to the general University requirements for University admission, candidates who wish to be admitted into the B.A. programme in Arabic and should possess a minimum of  credit pass  in 5  subjects, including Arabic, English, taken at the WASSCE, NECO, GCE  O Level  or their equivalent  at not  more than 2 sittings for UTME candidates. However, tested products of Pre-degree French from a recognized University and who are qualified may be considered.",Arabic and any two (2) relevant Arts/Social Science subjects.
ARABIC STUDIES,"KWARA STATE UNIVERSITY, MALETE, ILORIN, KWARA STATE",KWASU,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
BANKING & FINANCE,"KWARA STATE UNIVERSITY, MALETE, ILORIN, KWARA STATE",KWASU,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
