Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"JOSEPH SARWUAN TARKA UNIVERSITY, MAKURDI, BENUE STATE",JSTU,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
AGRIC - BUSINESS,"JOSEPH SARWUAN TARKA UNIVERSITY, MAKURDI, BENUE STATE",JSTU,"(a)Two (2) 'A' Level passes in Economics and any of Accounting, Business Management, Government, Geography or Statistics/Mathematics.

(b) ND/ND/HND in relevant fields.

(c) AIB","Five (5) 'O’ Level credit passes at not more than two (2) sittings to include English Language, Mathematics, Biology or Agricultural Science, Chemistry and any other relevant subject.","Mathematics, Economics and any other subject from Government, Principles of Account, Christian Religious Knowledge and Geography."
AGRIC-ECONOMICS & MANAGEMENT TECHNOLOGY,"JOSEPH SARWUAN TARKA UNIVERSITY, MAKURDI, BENUE STATE",JSTU,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science plus Mathematics or Physics."
AGRICULTURAL ENGINEERING,"JOSEPH SARWUAN TARKA UNIVERSITY, MAKURDI, BENUE STATE",JSTU,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","Mathematics, Chemistry and Physics."
AGRICULTURAL SCIENCE & EDUCATION,"JOSEPH SARWUAN TARKA UNIVERSITY, MAKURDI, BENUE STATE",JSTU,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
AGRICULTURE,"JOSEPH SARWUAN TARKA UNIVERSITY, MAKURDI, BENUE STATE",JSTU,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANIMAL SCIENCE,"JOSEPH SARWUAN TARKA UNIVERSITY, MAKURDI, BENUE STATE",JSTU,Two (2) ‘A’ level passes or its equivalent in Chemistry and one of Biology/Botany/Zoology/Agriculture Science/Geography/Geology/Mathematics/Economics.,"Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Biology/Agric Science and one of Physics, Geography or Economics.","Chemistry, Biology/Agriculture and Mathematics /Physics."
BIOCHEMISTRY,"JOSEPH SARWUAN TARKA UNIVERSITY, MAKURDI, BENUE STATE",JSTU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BOTANY,"JOSEPH SARWUAN TARKA UNIVERSITY, MAKURDI, BENUE STATE",JSTU,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS EDUCATION,"JOSEPH SARWUAN TARKA UNIVERSITY, MAKURDI, BENUE STATE",JSTU,[Not Available],[Not Available],[Not Available]
