Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"UNIVERSITY OF JOS, JOS, PLATEAU STATE",JOS,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
ACTUARIAL SCIENCE,"UNIVERSITY OF JOS, JOS, PLATEAU STATE",JOS,Two (2) ‘A’ Level passes to include Economics and Mathematics.,"Five (5) SSC credit passes to include English Language, Mathematics and Economics plus any other two (2)            relevant subjects.","Mathematics, Economics and one (1) other subject."
ADULT EDUCATION,"UNIVERSITY OF JOS, JOS, PLATEAU STATE",JOS,"(i)    Two (2) 'A' Level   passes.

(ii)           NCE merit in two (2) subjects.","Five (5) 'O' Level credit passes including English Language, Mathematics and three (3) of Literature in English, History, French, Yoruba, Igbo, Hausa, Christian Religious Studies, Islamic Studies, Geography/Physic, Economics and Government or TC II with pass in English Language and four (4) other subjects.","Government/History, one (1) Social Science subject and any other subject."
AGRIC-ECONOMICS AND EXTENSION:,"UNIVERSITY OF JOS, JOS, PLATEAU STATE",JOS,"1. Passes at the Advanced level in GCE, IJMB or an approved equivalent examination in two or three of Chemistry and Botany/Zoology. In addition, candidates must also meet the five (5) credit passes in WASCE/NECO/GCE/NABTEB requirements as in UTME.

2. Holders of the following qualifications from institutions recognized by the University of Jos may also be considered for admission into 200 level. Higher National Diploma (HND) in Agriculture, Forestry, Animal Health and Production and other relevant qualifications with at least an Upper Credit. Candidates must also meet the ‘O’ Level requirements for UTME.","Credit passes in five (5) WASSCE/GCE (‘O’ levels/NABTEB)

Subjects and its equivalent as approved by the University Senate, including English Language, Mathematics, Chemistry Biology or Agricultural Science and Physics. The credit pass in Agricultural Science must be backed up with at least a pass in Biology. In addition, candidates must have UTME scores high enough for the cut-off point set for the year in which the applications are being considered.","Five SSCE Credit passes to include:

English Language, Mathematics, Chemistry, Biology/Agricultural Science and any one of the following:

Physics, Geography or Economics"
AGRICULTURE,"UNIVERSITY OF JOS, JOS, PLATEAU STATE",JOS,"1. Passes at the Advanced level in GCE, IJMB or an approved equivalent examination in two or three of Chemistry and Botany/Zoology. In addition, candidates must also meet the five (5) credit passes in WASCE/NECO/GCE/NABTEB requirements as in UTME.

2. Holders of the following qualifications from institutions recognized by the University of Jos may also be considered for admission into 200 level. Higher National Diploma (HND) in Agriculture, Forestry, Animal Health and Production and other relevant qualifications with at least an Upper Credit. Candidates must also meet the ‘O’ Level requirements for UTME.","Five SSCE Credit passes to include:

English Language, Mathematics, Chemistry, Biology/Agricultural Science and any one of the following:

Physics, Geography or Economics","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANATOMY,"UNIVERSITY OF JOS, JOS, PLATEAU STATE",JOS,The requirements as in Dentistry and Medicine & Surgery and must have passed the first Professional Examination for Dentistry and second Professional Examination for Medicine & Surgery,"Five ‘O’ level/SSCE credit passes in English Language, Mathematics, Biology, Chemistry and Physics","Biology, Chemistry and Physics."
ANIMAL PRODUCTION,"UNIVERSITY OF JOS, JOS, PLATEAU STATE",JOS,"1. Passes at the Advanced level in GCE, IJMB or an approved equivalent examination in two or three of Chemistry and Botany/Zoology. In addition, candidates must also meet the five (5) credit passes in WASCE/NECO/GCE/NABTEB requirements as in UTME.

2. Holders of the following qualifications from institutions recognized by the University of Jos may also be considered for admission into 200 level. Higher National Diploma (HND) in Agriculture, Forestry, Animal Health and Production and other relevant qualifications with at least an Upper Credit. Candidates must also meet the ‘O’ Level requirements for UTME","Credit passes in five (5) WASSCE/GCE (‘O’ levels/NABTEB)

Subjects and its equivalent as approved by the University Senate, including English Language, Mathematics, Chemistry Biology or Agricultural Science and Physics. The credit pass in Agricultural Science must be backed up with at least a pass in Biology. In addition, candidates must have UTME scores high enough for the cut-off point set for the year in which the applications are being considered.","Five SSCE Credit passes to include:

English Language, Mathematics, Chemistry, Biology/Agricultural Science and any one of the following:

Physics, Geography or Economics"
ARABIC STUDIES,"UNIVERSITY OF JOS, JOS, PLATEAU STATE",JOS,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
ARCHAEOLOGY,"UNIVERSITY OF JOS, JOS, PLATEAU STATE",JOS,"Two (2) ‘A’ level passes in Arts or Social Sciences and Sciences.

JOS accepts NCE (Merit) or ND (Lower credit).",Five (5) credit passes at SSCE to include English Language and Mathematics.,"Any two (2) subjects from Arts, Social Science and Sciences.

Jos requires five (5) credit passes in any Arts, Social Sciences, and Sciences but must include English Language, and Mathematics."
ARCHITECTURE,"UNIVERSITY OF JOS, JOS, PLATEAU STATE",JOS,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
