Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"PRECIOUS CORNERSTONE UNIVERSITY, IBADAN, OYO STATE",PC-UNI,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ACTUARIAL SCIENCE,"PRECIOUS CORNERSTONE UNIVERSITY, IBADAN, OYO STATE",PC-UNI,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BANKING & FINANCE,"PRECIOUS CORNERSTONE UNIVERSITY, IBADAN, OYO STATE",PC-UNI,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"PRECIOUS CORNERSTONE UNIVERSITY, IBADAN, OYO STATE",PC-UNI,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"PRECIOUS CORNERSTONE UNIVERSITY, IBADAN, OYO STATE",PC-UNI,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
COMPUTER SCIENCE,"PRECIOUS CORNERSTONE UNIVERSITY, IBADAN, OYO STATE",PC-UNI,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"PRECIOUS CORNERSTONE UNIVERSITY, IBADAN, OYO STATE",PC-UNI,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
INDUSTRIAL CHEMISTRY,"PRECIOUS CORNERSTONE UNIVERSITY, IBADAN, OYO STATE",PC-UNI,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
INDUSTRIAL MATHEMATICS,"PRECIOUS CORNERSTONE UNIVERSITY, IBADAN, OYO STATE",PC-UNI,"(i)    Two (2) 'A' Level passes from Mathematics, Physics, Economics or Chemistry.

(ii) NCE merit in relevant subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics and two (2) other Science subjects.","Mathematics and any two (2) of Physics, Chemistry, Economics, Biology and Agricultural Science."
MARKETING,"PRECIOUS CORNERSTONE UNIVERSITY, IBADAN, OYO STATE",PC-UNI,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
MICROBIOLOGY,"PRECIOUS CORNERSTONE UNIVERSITY, IBADAN, OYO STATE",PC-UNI,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
PHYSICS WITH ELECTRONICS,"PRECIOUS CORNERSTONE UNIVERSITY, IBADAN, OYO STATE",PC-UNI,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
