Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ARABIC,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,[Not Available],[Not Available],[Not Available]
BIOLOGICAL SCIENCE(S),"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,"(i)    Two (2) 'A' Level passes to include one (1) of Botany, Zoology, Biology or Chemistry.

 

(ii)    ND/NCE in related programme/subject.","Five (5) SSC credit passes to include English Language, Mathematics, Chemistry, Biology and any other Science subject.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
CHEMISTRY,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CIVIL ENGINEERING,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,(i) 'A' Level passes in Physics and Mathematics. (ii) ND/HND upper credit at appropriate levels.,"Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
COMPUTER SCIENCE,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,"i)      Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
DEFENCE & SECURITY STUDIES,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,Two (2) 'A' Level passes in Government and one other Social Science subject,Five (5) SSC credit passes  including English Language Government or History and at least a pass in Mathematics,Three (3) Arts or Social Science subjects
ECONOMICS,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ELECTRICAL /ELECTRONICS ENGINEERING,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,"Two (2) 'A' Level passes in Mathematics, Physics or Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry"
ENGLISH,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,[Not Available],[Not Available],[Not Available]
FRENCH,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,Two (2) ‘A’ Level passes including French and one other Arts subject.,Five (5) SSC credit passes including French and English Language plus one other Arts subject.,French and any other two (2) subjects from Arts and Social Sciences.
GEOGRAPHY,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,"Two (2)'A' Level passes in Geography and any one of Economics., Government, Physics, Chemistry, Biology, and Mathematics","Five (5) SSC credit passes in English Language, Geography, and any three (3) from Arts or Social Science subjects with at least a pass in Mathematics.",Geography and two (2) other Arts or Social Science subjects
HISTORY,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,Two (2) ‘A’ Level passes in History and any other related subjects.,Five (5) SSC credit passes to include History and English Language.,History and any other two (2) subjects from Arts and Social Sciences.
MANAGEMENT,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
MATHEMATICS,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MECHANICAL ENGINEERING,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,"(i)        Two (2) 'A' Level passes from Chemistry, Physics and Mathematics.

(ii)       ND upper credit, NCE technical and HND in Mech. Engineering.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and any other Science subject.","Mathematics, Physics and Chemistry."
MECHATRONICS ENGINEERING,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,"'A' Level passes in any two (2) of  Mathematics, Physics and Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry ,English Language and any other Science subject.","Mathematics, Chemistry and Physics."
MILITARY SCIENCE,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,Two (2) 'A' Level passes in Government and one other Social Science subject,Five (5) SSC credit passes  including English Language Government or History and at least a pass in Mathematics,Three (3) Arts or Social Science subjects
PHYSICS,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
POLITICAL SCIENCE & DEFENCE STUDIES,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,Two (2) 'A' Level passes in Government and one other Social Science subject,Five (5) SSC credit passes  including English Language Government or History and at least a pass in Mathematics,Three (3) Arts or Social Science subjects
PSYCHOLOGY,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Any three (3) subjects from Arts or Social Science
SECURITY & INTELLIGENCE STUDIES,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Three (3) Social Science or Arts subjects.
TRANSPORT & LOGISTICS MANAGEMENT,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,Two (2) 'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
TRANSPORT LOGISTICS MANAGEMENT:,"NIGERIAN DEFENCE ACADEMY, KADUNA, KADUNA STATE",NDA,"(i)     Two ‘A’ level passes in Physics/Mathematics/Economics/Geography.

ii)             OND/HND in Estate Management, Quantity Surveying, Building Tech and Engineering (Upper/Lower credit).","Five (5) SSCE credit passes to include English Language, Mathematics,  Physics plus a pass in Chemistry and either Economics  or  Biology.","Mathematics, Physics and one of Chemistry, Economics and Biology."
