Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE & EDUCATION,"UMAR IBN IBRAHIM EL-KANEMI COL OF EDU, SCIENCE AND TECH, BAMA, (AFFL TO UNIMAID)",UMAR,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
EDUCATION & BIOLOGY,"UMAR IBN IBRAHIM EL-KANEMI COL OF EDU, SCIENCE AND TECH, BAMA, (AFFL TO UNIMAID)",UMAR,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"UMAR IBN IBRAHIM EL-KANEMI COL OF EDU, SCIENCE AND TECH, BAMA, (AFFL TO UNIMAID)",UMAR,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & ENGLISH LANGUAGE,"UMAR IBN IBRAHIM EL-KANEMI COL OF EDU, SCIENCE AND TECH, BAMA, (AFFL TO UNIMAID)",UMAR,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & GEOGRAPHY/PHYSICS,"UMAR IBN IBRAHIM EL-KANEMI COL OF EDU, SCIENCE AND TECH, BAMA, (AFFL TO UNIMAID)",UMAR,"Two (2) 'A' Level passes/NCE merit which should include Geography

/Physics.","Five (5) SSC credit passes to include Geography, English Language and Mathematics.",Geography plus two (2) other Social Sciences/Arts subjects.
EDUCATION & MATHEMATICS,"UMAR IBN IBRAHIM EL-KANEMI COL OF EDU, SCIENCE AND TECH, BAMA, (AFFL TO UNIMAID)",UMAR,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & PHYSICS,"UMAR IBN IBRAHIM EL-KANEMI COL OF EDU, SCIENCE AND TECH, BAMA, (AFFL TO UNIMAID)",UMAR,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATION & SOCIAL STUDIES,"UMAR IBN IBRAHIM EL-KANEMI COL OF EDU, SCIENCE AND TECH, BAMA, (AFFL TO UNIMAID)",UMAR,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
PHYSICAL & HEALTH EDUCATION,"UMAR IBN IBRAHIM EL-KANEMI COL OF EDU, SCIENCE AND TECH, BAMA, (AFFL TO UNIMAID)",UMAR,"(i)  Two (2) 'A' Level passes in any of Biology, Chemistry, Physics and Mathematics.

 

(ii)  NCE merit in Physical Education and credit in Arithmetical process or Mathematics.

 

(iii)  Diploma in Health Education, Environmental Sanitation, Physical Education, Social work, Health Administration with overall grades of merit plus three (3) 'O' Level credit passes/TC II merit which should include English Language.

 

(iv) NCE in Biology, Health Education, and Integrated Science with a pass grade plus two (2) 'O' Level credit passes/TC II merit passes.

 

(v)    Registered Nurse plus five (5) 'O' Level credit passes to include English Language.","i) Five (5) SSC credit passes/TC II merit passes including     English Language, Biology or its equivalent.

 

ii) Five (5) SSC credit passes/TC II merit passes to include English Language and Mathematics.",Biology and any two (2) relevant subjects.
TEACHER EDUCATION SCIENCE:,"UMAR IBN IBRAHIM EL-KANEMI COL OF EDU, SCIENCE AND TECH, BAMA, (AFFL TO UNIMAID)",UMAR,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
