Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BANKING & FINANCE,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGICAL SCIENCE(S),"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,"(i)    Two (2) 'A' Level passes to include one (1) of Botany, Zoology, Biology or Chemistry.

 

(ii)    ND/NCE in related programme/subject.","Five (5) SSC credit passes to include English Language, Mathematics, Chemistry, Biology and any other Science subject.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
CHEMISTRY,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER ENGINEERING,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CYBER SECURITY,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ENGLISH LANGUAGE,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
FISHERIES & AQUACULTURE,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,"(i) Two (2) 'A' Level passes in any of Chemistry, Biology, Botany, Zoology, Agricultural Science Geography, Mathematics (pure & applied), Physics, Geology and Economics.

 

(ii)NCE Agriculture","Five (5) SSC credit passes in Biology/Agricultural Science, Chemistry, Mathematics and English Language plus any other Science subject.","Chemistry, Biology/Agricultural Science and any other Science subject."
INFORMATION TECHNOLOGY,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
MASS COMMUNICATION,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,Two (2) 'A' Level passes in Arts or Social Science subjects.,Five (5) SSC credit passes in English Language and four (4) other subjects in Arts or Social Sciences.,Any three (3) from Arts or Social Science subjects.
MATHEMATICS,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MICROBIOLOGY,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
NURSING SCIENCE,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,[Not Available],[Not Available],[Not Available]
PHILOSOPHY,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,Any two (2) ‘A’ Level passes.,Five (5) SSC credit passes to include English Language and four (4) other relevant subjects.,Any three (3) subjects.
PHYSICS,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
POLITICAL SCIENCE,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government or History plus two (2) other Social Science/Arts subjects.
RELIGIOUS STUDIES,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,Two (2) ‘A’ Level subjects to include Religious Studies (CRS/IRS).,Five (5) SSC credit passes to include English Language and CRS/IRS.,CRS/IRS and any other two (2) subjects.
SOFTWARE ENGINEERING,"AUGUSTINE UNIVERSITY, ILARA, LAGOS, LAGOS STATE",AUGUSTINE,'A' Level passes ND/NCE at Credit/merit levels and HND lower credit in relevant programmes into 200 and 300 levels.,"Five (5) SSC credit passes in Mathematics, English Language and three (3) other Science subjects.","Maths, Economics and any one of Chemistry, Physics, Biology or Geography."
