Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL SCIENCE & EDUCATION,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
BUSINESS EDUCATION,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
EDUCATION & BIOLOGY,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & COMPUTER SCIENCE,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ECONOMICS,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION & ENGLISH LANGUAGE,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & FRENCH,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,Two (2) 'A' Level passes/NCE merit in French and one(1) other Arts subject.,Five (5) SSC credit passes to include English Language and French.,French plus two (2) other Arts subjects.
EDUCATION & GEOGRAPHY/PHYSICS,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,"Two (2) 'A' Level passes/NCE merit which should include Geography

/Physics.","Five (5) SSC credit passes to include Geography, English Language and Mathematics.",Geography plus two (2) other Social Sciences/Arts subjects.
EDUCATION & HISTORY,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,Two (2) NCE merit/'A' Level passes in History and one (1) other relevant Arts subject.,"Five (5) SSC credit passes in English Language, History and three (3) relevant Arts subjects.","History and any other two (2) subjects chosen from Christian Religious Studies / Islamic Studies, Literature in English, French, Yoruba, Geography/Physics, Economics, Government and Hausa."
EDUCATION & INTEGRATED SCIENCE,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,"(i) NCE Integrated         Science

 

(ii)   NCE Science

       Education

 

(iii)  'A' Level         passes in two (2)Science subjects","Five (5) SSC credit passes including Biology, Chemistry, English Language and Mathematics","Any three (3) of Mathematics, Chemistry, Physics, Biology and Agricultural Science."
EDUCATION & MATHEMATICS,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & MUSIC,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,Two (2) 'A' Level passes/NCE merit in Music.,Five (5) SSC credit passes including Music and English Language.,Music and any other two (2) Arts/Social Science subjects.
EDUCATION & PHYSICS,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATION & POLITICAL SCIENCE,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,"(i) Two (2) 'A' Level passes in relevant subjects chosen from Government or History, Economics and Geography/Physics.

(ii) NCE merit in Government/History, Economics and Geography/Physics.","Five (5) 'O' Level credit passes or equivalent to include English Language, Government/History and three (3) other subjects.",Government or History plus two (2) other Arts or Social Sciences subjects.
EDUCATION & SOCIAL STUDIES,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
NURSERY & PRIMARY EDUCATION,"COLLEGE OF EDUCATION, AGBOR, DELTA STATE. (AFFL TO DELTA STATE UNIV, ABRAKA)",AGBORCOE,Two (2) 'A' Level passes chosen from relevant subjects.,Five (5) 'O' Level credit passes including English Language.,Any three (3) subjects.
