Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"FEDERAL UNIVERSITY, LAFIA, NASARAWA STATE",FED-LAFIA,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
AGRIC-ECONOMICS & EXTENSION,"FEDERAL UNIVERSITY, LAFIA, NASARAWA STATE",FED-LAFIA,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science plus Mathematics or Physics."
AGRIC-ECONOMICS AND EXTENSION:,"FEDERAL UNIVERSITY, LAFIA, NASARAWA STATE",FED-LAFIA,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science plus Mathematics or Physics."
AGRICULTURE,"FEDERAL UNIVERSITY, LAFIA, NASARAWA STATE",FED-LAFIA,"(i)   IJMB: Ten (10) points and above in the IJMB Examinations to enter 200 Level, in addition to UTME requirements to include: Mathematics, English, Chemistry, Physics and Biology or Agricultural Science.

(ii)  NCE: At least a Merit to enter 200 Level,  in addition to UTME requirements to include: Mathematics, English, Chemistry, Physics and Biology or Agricultural Science.

(iii)  ND: At least Upper Credits to enter 200 Level  in addition to UTME requirements to include: Mathematics, English, Chemistry, Physics and Biology or Agricultural Science.

(iv)   HND: At least a Lower Credit to enter 200 Level  in addition to UTME requirements to include: Mathematics, English, Chemistry, Physics and Biology or Agricultural Science.","Five (5)  credits passes  in  WAEC/ GCE / SSCE / NABTEB which should include: Mathematics, English, Chemistry, Physics and Biology or Agricultural Science.","English, Chemistry, Physics and Biology or Agriculture."
ANATOMY,"FEDERAL UNIVERSITY, LAFIA, NASARAWA STATE",FED-LAFIA,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
ARABIC STUDIES,"FEDERAL UNIVERSITY, LAFIA, NASARAWA STATE",FED-LAFIA,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Mathematics, Arabic and two (2) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
ARCHITECTURE,"FEDERAL UNIVERSITY, LAFIA, NASARAWA STATE",FED-LAFIA,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"FEDERAL UNIVERSITY, LAFIA, NASARAWA STATE",FED-LAFIA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BOTANY,"FEDERAL UNIVERSITY, LAFIA, NASARAWA STATE",FED-LAFIA,"ND or NCE with upper credit pass or  Two (2) 'A' Level passes (Graded A-E) at the GCE Advanced Level in related subjects ( Biology, Chemistry, Physics, and Mathematics).","Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics and relevant Science Subjects.","Biology, Chemistry and any other Science subject."
BUILDING,"FEDERAL UNIVERSITY, LAFIA, NASARAWA STATE",FED-LAFIA,[Not Available],[Not Available],[Not Available]
