Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"AKWA IBOM STATE UNIVERSITY, IKOT-AKPADEN, AKWA IBOM STATE",AKSU,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
AGRIC-ECONOMICS & EXTENSION,"AKWA IBOM STATE UNIVERSITY, IKOT-AKPADEN, AKWA IBOM STATE",AKSU,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science plus Mathematics or Physics."
AGRICULTURAL ENGINEERING,"AKWA IBOM STATE UNIVERSITY, IKOT-AKPADEN, AKWA IBOM STATE",AKSU,'A' Level passes or equivalent in Physics and Mathematics.,"Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any from Introduction to Agricultural Science, Materials and Workshop Process and Machining, Tractor Layout Power Unit Under Carriage and Auto Electricity; Transmission System; Implement and Machine; Principles of Crop Husbandry and Land Use, Materials and Workshop Processes; Construction and Maintenance of Agricultural Machines; general Metal Work; General Wood Work and Building/Engineering Drawing.","Mathematics, Chemistry and Physics."
ANIMAL SCIENCE,"AKWA IBOM STATE UNIVERSITY, IKOT-AKPADEN, AKWA IBOM STATE",AKSU,Two (2) ‘A’ level passes or its equivalent in Chemistry and one of Biology/Botany/Zoology/Agriculture Science/Geography/Geology/Mathematics/Economics.,"Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Biology/Agric Science and one of Physics, Geography or Economics.","Chemistry, Biology/Agriculture and Mathematics /Physics."
APPLIED GEOPHYSICS,"AKWA IBOM STATE UNIVERSITY, IKOT-AKPADEN, AKWA IBOM STATE",AKSU,'A' Level passes in Chemistry and Physics or Mathematics.,"Five (5) SSC credit passes including English Language, Mathematics, Physics and Chemistry/Biology.","Any three (3) of Physics, Chemistry, Biology and Mathematics."
BANKING & FINANCE,"AKWA IBOM STATE UNIVERSITY, IKOT-AKPADEN, AKWA IBOM STATE",AKSU,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
BIOCHEMISTRY,"AKWA IBOM STATE UNIVERSITY, IKOT-AKPADEN, AKWA IBOM STATE",AKSU,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"AKWA IBOM STATE UNIVERSITY, IKOT-AKPADEN, AKWA IBOM STATE",AKSU,"(i)   At least two (2) passes at GCE 'A' Level or approved equivalent in relevant subjects chosen from Botany, Zoology, Biology and Chemistry.

 

(ii)    ND/NCE in related programme/subject.","At least five (5) SSC credit passes to include English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and Physics or Mathematics."
BOTANY,"AKWA IBOM STATE UNIVERSITY, IKOT-AKPADEN, AKWA IBOM STATE",AKSU,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"AKWA IBOM STATE UNIVERSITY, IKOT-AKPADEN, AKWA IBOM STATE",AKSU,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
