Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"KWARARAFA UNIVERSITY, WUKARI, TARABA STATE",KWARARAFA,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.?","Mathematics, Economics plus any Social Science subject."
BIOLOGY,"KWARARAFA UNIVERSITY, WUKARI, TARABA STATE",KWARARAFA,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"KWARARAFA UNIVERSITY, WUKARI, TARABA STATE",KWARARAFA,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
COMPUTER SCIENCE,"KWARARAFA UNIVERSITY, WUKARI, TARABA STATE",KWARARAFA,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY & SECURITY STUDIES,"KWARARAFA UNIVERSITY, WUKARI, TARABA STATE",KWARARAFA,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
ECONOMICS,"KWARARAFA UNIVERSITY, WUKARI, TARABA STATE",KWARARAFA,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATIONAL MANAGEMENT,"KWARARAFA UNIVERSITY, WUKARI, TARABA STATE",KWARARAFA,"Same as in Educational Psychology, Guidance and Counseling.","Same as in Educational Psychology, Guidance and Counseling.","Economics, Mathematics and one (1) other Social Science/Arts subject."
GEOGRAPHY,"KWARARAFA UNIVERSITY, WUKARI, TARABA STATE",KWARARAFA,"Two (2)'A' Level passes in Geography and any one of Economics., Government, Physics, Chemistry, Biology, and Mathematics","Five (5) SSC credit passes in English Language, Geography, and any three (3) from Arts or Social Science subjects with at least a pass in Mathematics.",Geography and two (2) other Arts or Social Science subjects
GUIDANCE & COUNSELLING,"KWARARAFA UNIVERSITY, WUKARI, TARABA STATE",KWARARAFA,'A' Level passes or NCE in two (2) subjects plus the UTME requirements.,Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language with 'O' Level pass in Mathematics.,Any three (3) subjects.
HEALTH EDUCATION,"KWARARAFA UNIVERSITY, WUKARI, TARABA STATE",KWARARAFA,"i)  Two (2) 'A' Level passes in any of Biology, Chemistry, Physics and Mathematics.

 

(ii)  NCE merit in Physical Education and credit in Arithmetical process or Mathematics.

 

(iii)  Diploma in Health Education, Environmental Sanitation, Physical Education, Social work, Health Administration with overall grades of merit plus three (3) 'O' Level credit passes/TC II merit which should include English Language.

 

(iv) NCE in Biology, Health Education, and Integrated Science with a pass grade plus two (2) 'O' Level credit passes/TC II merit passes.

 

(v)    Registered Nurse plus five (5) 'O' Level credit passes to include English Language.","i) Five (5) SSC credit passes/TC II merit passes including     English Language, Biology or its equivalent.

 

ii) Five (5) SSC credit passes/TC II merit passes to include English Language and Mathematics.",Biology and any two (2) relevant subjects.
