Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
AGRICULTURAL EXTENSION & MANAGEMENT,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,"Two (2) ‘A’ Level passes in Chemistry and one of Zoology/Botany/Agricultural Science/Biology, Geography, Mathematics, Physics, Geology, Economics and Health Science","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and one of Geography, Physics and Economics.","Chemistry, Biology/ Agricultural Science and Mathematics or Physics"
AGRICULTURAL SCIENCE & EDUCATION,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
BUSINESS EDUCATION,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
CHRISTIAN THEOLOGY,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,Two (2) ‘A’ Level subjects to include Religious Studies (CRS/IRS).,Five (5) SSC credit passes to include English Language and CRS/IRS.,CRS/IRS and any other two (2) subjects.
COMMUNICATIONS TECHNOLOGY,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
COMPUTER SCIENCE,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CONFLICT AND PEACE RESOLUTION,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,Two (2) 'A' Level passes in Government and one other Social Science subject,Five (5) SSC credit passes  including English Language Government or History and at least a pass in Mathematics,Three (3) Arts or Social Science subjects
COOPERATIVE MANAGEMENT,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,"(i)      Two (2) ‘A’ Level passes.

(ii)           HND in relevant programmes",Five (5) SSC credit passes including English Language and Economics,"Mathematics, Economics plus one (1) other subject."
CRIMINOLOGY & SECURITY STUDIES,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
DATA MANAGEMENT,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
EARLY CHILDHOOD EDUCATION,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,Two (2) 'A' Level passes chosen from relevant subjects.,Five (5) 'O' Level credit passes including English Language.,Any three (3) subjects.
EDUCATION & BIOLOGY,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & ENGLISH LANGUAGE,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & FRENCH,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,Two (2) 'A' Level passes/NCE merit in French and one(1) other Arts subject.,Five (5) SSC credit passes to include English Language and French.,French plus two (2) other Arts subjects.
EDUCATION & INTEGRATED SCIENCE,"NATIONAL OPEN UNIVERSITY OF NIGERIA, JABI, ABUJA-FCT",NOUN,"(i) NCE Integrated         Science

 

(ii)   NCE Science

       Education

 

(iii)  'A' Level         passes in two (2)Science subjects","Five (5) SSC credit passes including Biology, Chemistry, English Language and Mathematics","Any three (3) of Mathematics, Chemistry, Physics, Biology and Agricultural Science."
