Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
BUSINESS ADMINISTRATION,"OSUN STATE COLLEGE OF EDUCATION, ILA-ORANGUN(AFF TO EKITI STATE UNI), OSUN STATE",ILA-DEG,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
BUSINESS EDUCATION,"OSUN STATE COLLEGE OF EDUCATION, ILA-ORANGUN(AFF TO EKITI STATE UNI), OSUN STATE",ILA-DEG,[Not Available],[Not Available],[Not Available]
EARLY CHILDHOOD EDUCATION,"OSUN STATE COLLEGE OF EDUCATION, ILA-ORANGUN(AFF TO EKITI STATE UNI), OSUN STATE",ILA-DEG,Two (2) 'A' Level passes chosen from relevant subjects.,Five (5) 'O' Level credit passes including English Language.,Any three (3) subjects.
EDUCATION & AGRICULTURAL SCIENCE,"OSUN STATE COLLEGE OF EDUCATION, ILA-ORANGUN(AFF TO EKITI STATE UNI), OSUN STATE",ILA-DEG,"(i) Two (2) passes at 'A' Level in Biology /Zoology /Botany and any other Science subject.

(ii) NCE merit in Biology and any other Science subject.

(iii) NCE merit in Agriculture (Double Major).","Five (5) 'O' Level credit passes or equivalents in English Language, Chemistry, Biology/Agricultural Science., Mathematics and another relevant subject.","Any three (3) subjects from Chemistry, Biology, Agriculture, Physics, Economics, Geography and Mathematics."
EDUCATION & BIOLOGY,"OSUN STATE COLLEGE OF EDUCATION, ILA-ORANGUN(AFF TO EKITI STATE UNI), OSUN STATE",ILA-DEG,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"OSUN STATE COLLEGE OF EDUCATION, ILA-ORANGUN(AFF TO EKITI STATE UNI), OSUN STATE",ILA-DEG,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & CHRISTIAN RELIGIOUS STUDIES,"OSUN STATE COLLEGE OF EDUCATION, ILA-ORANGUN(AFF TO EKITI STATE UNI), OSUN STATE",ILA-DEG,Two (2) 'A' Level passes/NCE merit in Religious Studies and one (1) other Arts subject.,"Five (5) 'O' Level credit passes or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Two (2) Arts subject including Religious studies and one (1) other subject.
EDUCATION & ECONOMICS,"OSUN STATE COLLEGE OF EDUCATION, ILA-ORANGUN(AFF TO EKITI STATE UNI), OSUN STATE",ILA-DEG,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION & ENGLISH LANGUAGE,"OSUN STATE COLLEGE OF EDUCATION, ILA-ORANGUN(AFF TO EKITI STATE UNI), OSUN STATE",ILA-DEG,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & FINE ARTS,"OSUN STATE COLLEGE OF EDUCATION, ILA-ORANGUN(AFF TO EKITI STATE UNI), OSUN STATE",ILA-DEG,"(i)    NCE merit in Fine and Applied Arts Double Major.

(ii)'A' Level passes in Fine Arts and any other subject.",Five (5) 'O' Level credit passes or TC II or NTC/NBC merit including Fine Art and English Language.,"Fine Arts, one (1) other Arts subject and any other subject."
